Pressure,AEI_0,APC_1,APC_2,CDO_1,GIS_1,ITV_0,IWR_0,PWN,WEI_0
0.1,0.024297847054280976,0.002191235509789533,0.0009329421870827353,0.021591709370340394,0.0026749968136071723,0.00881151616372575,0.013763683856041507,0.015881073121011165,0.0011996265718356041
0.3,0.07170882454805078,0.006579621531639989,0.0027970410314595183,0.06316173212084289,0.008021193640219563,0.0263568667890593,0.03978029688552675,0.04627367673188767,0.003598360001942125
0.5,0.11744431953904802,0.010975642074606773,0.0046585496992962196,0.10266027912182309,0.013361357428617757,0.043798285476734276,0.06395959554223256,0.07496870961563855,0.005996294572049633
0.7,0.1614836661724075,0.015378998731605007,0.006517226532972476,0.1401887643427421,0.01869436186708024,0.06113539675813593,0.08648843859610233,0.10210572921790836,0.008393305392890514
0.9,0.2038563932121869,0.019789397790785007,0.008372840491109453,0.17585128036033132,0.02401912363117072,0.07836788212739079,0.10752882799816058,0.12780954526884028,0.010789270053892873
1.0,0.22443362225506472,0.0219971477008335,0.009299429470813251,0.19301529125537473,0.026678086464970753,0.0869448054488144,0.1175356820308722,0.1401594413752919,0.011986822489002914
2.0,0.409802648255586,0.04415978232198773,0.018514565820593826,0.34311878204429236,0.05311345669970197,0.17126705299666928,0.20215489820120486,0.24804366446979997,0.023943133565882097
3.0,0.5637598091239048,0.06645368696368101,0.027621639732121974,0.4615135315953196,0.07919287392021879,0.25295402536697836,0.2657896342075475,0.3337785334098177,0.03585495105537411
4.0,0.6932574387361871,0.08884724302834582,0.0366016367489144,0.5565591578434725,0.10482519423119017,0.3320175264542807,0.31515609493100927,0.40367072240972524,0.0477096643540055
5.0,0.8035797635407176,0.1113112326584435,0.045439394728941006,0.6341719405271645,0.12993842471785058,0.4084881798320676,0.35434166116556015,0.4618439834987933,0.05949592636554812
6.0,0.8986709961108003,0.13381866080982396,0.054122911770905925,0.6985306533433945,0.15447703023617723,0.48241088520672876,0.38598891276632274,0.5111036435315229,0.07120355366749095
7.0,0.981492012278249,0.15634459415009067,0.06264280408854583,0.752626062287542,0.17839950481845265,0.5538411960174066,0.4118899542062636,0.5534220492235127,0.08282343421906051
8.0,1.0542922933851098,0.17886601449054867,0.07099187342377156,0.7986367962805874,0.20167620876123,0.6228424323895027,0.43330769661128044,0.590225132906673,0.09434744199900894
9.0,1.1188042670670388,0.2013616848697326,0.07916475634656499,0.8381791959146992,0.22428746232166394,0.689483382807942,0.45116043263274247,0.6225687972540926,0.10576835802609522
10.0,1.1763805011256205,0.2238120267315044,0.08715763608053813,0.8724736463547662,0.24622188046250865,0.7538364782005833,0.46613338833208884,0.651251407250785,0.11707979726967063
20.0,1.5306514020650241,0.44249793624414424,0.15706748017288663,1.061542618517606,0.429408302444079,1.2879240634338034,0.5325496536132884,0.8259325383354332,0.2232430459616036
30.0,1.6982039616366058,0.6439593202264497,0.21032125546770442,1.1367010707806482,0.5578121771037953,1.6695878637352126,0.5400602300624455,0.9098072194075159,0.3155631701477501
40.0,1.791323060615139,0.8239282005452808,0.2503824821957812,1.1739775334962803,0.6484745094568307,1.9491647019615481,0.5309824850482555,0.9579798244669392,0.39434969189930746
50.0,1.8471727349774463,0.9819964013194039,0.28055180004806335,1.194449979726047,0.7140051936936255,2.1592099828755686,0.5165088649156157,0.987695003203868,0.46107199846072094
