Pressure,AEI_0,APC_1,APC_2,CDO_1,GIS_1,ITV_0,IWR_0,PWN,WEI_0
0.1,0.0031897706171086044,0.0018806020466307887,0.0008161787018593819,0.009187185751192392,0.006539668626378611,0.009240194049737277,0.02301749506681291,0.020106968801667662,0.0006420259354145523
0.3,0.01010356073907254,0.005643558927429296,0.0024563541114564023,0.02673383048139065,0.01962036277494507,0.02762513705579254,0.06730602138419009,0.058979419290001646,0.0019259621977338027
0.5,0.017564805554853125,0.00940873857712252,0.004106628351872699,0.04324313304992615,0.03270035435906718,0.04588322870531677,0.10944563333530734,0.0961792257851136,0.00320971233443163
0.7,0.025435638794292986,0.013176006393687746,0.005766620516096251,0.05879130714206167,0.04577672179577242,0.06401498695722464,0.14962750015399753,0.1318329141318444,0.004493238728576258
0.9,0.03361880034480394,0.016945230611150816,0.007435959980957451,0.07345007107484486,0.05884664708274681,0.08202095922392694,0.1880188580426992,0.16605418113975354,0.005776504615981597
1.0,0.03780419328476267,0.018830535952443415,0.00827402185196207,0.08046701188313563,0.06537834102702307,0.09097695423567305,0.20658974314696513,0.18266007640078968,0.006418028609715796
2.0,0.08166851885587305,0.037705303774974976,0.01676876033727038,0.1409203073200575,0.1304995587109629,0.1788322928364201,0.3729552334717043,0.3327879536270245,0.012828245419055714
3.0,0.12680328960980186,0.05660930699455377,0.02544302672005278,0.18774291269693857,0.19506511487470035,0.263647493714184,0.5118425562834109,0.4597804818580439,0.019226502352984943
4.0,0.17148943214200085,0.07552904272307862,0.034260631307300955,0.22508281232626762,0.2588303014330379,0.3455146844912378,0.630766686483446,0.5696310608557325,0.025609109037336434
5.0,0.2150115027335064,0.09445234415633269,0.043189667401865285,0.2556347457108667,0.3215974341274394,0.42453284905719796,0.734518650685507,0.6663518454276574,0.031972788621452024
6.0,0.25707600855482815,0.11336824365915907,0.052201940005877294,0.28118851104532927,0.38320956290940245,0.5008049475722003,0.8263423396306385,0.7527367223751111,0.03831463817268412
7.0,0.29758494843913735,0.1322668531075088,0.061272499866730196,0.30296569361023956,0.44354475263178617,0.5744357380484506,0.9085398474795587,0.8307961861351275,0.044632093091562
8.0,0.33653465640365854,0.15113925878982654,0.07037925616885579,0.3218229197097459,0.5025109500323636,0.6455301386977235,0.9828068822060411,0.9020178233080153,0.05092289507643558
9.0,0.37396705728615026,0.16997742866740762,0.07950264936803435,0.3383761979036338,0.560041426660217,0.7141920081390019,1.0504304077633566,0.9675289515161443,0.057185063232667165
10.0,0.4099450969653507,0.18877413018731465,0.08862537106551378,0.35307873917316207,0.616090769963179,0.7805232489812628,1.112411263540323,1.028201811093731,0.06341686797662904
20.0,0.7047208306464195,0.3733148277439745,0.17720868120727,0.44624562124789713,1.0946098938273117,1.3358335221391218,1.5424792157062293,1.4720189658961362,0.1238228191090836
30.0,0.9167400256711766,0.5496183993364776,0.2568036949991769,0.4982849463937194,1.4442731288470647,1.7457222786525783,1.7987891895775807,1.7629245948720766,0.18047114418811222
40.0,1.0769538508039709,0.7167856064193361,0.3258530045130019,0.5348726157325747,1.7017993296866791,2.0605424086541473,1.9770471899958326,1.9805852838942424,0.23349816280184488
50.0,1.202502716331036,0.8752048589611078,0.38517909364899566,0.5634307621862837,1.8961658681787503,2.3108292495923632,2.11169701320554,2.1546744756138367,0.28332798080874927
