Pressure,AEI_0,APC_1,APC_2,CDO_1,GIS_1,ITV_0,IWR_0,PWN,WEI_0
0.1,0.007575361019723613,0.001630048263497619,0.0009225531187299714,0.0176703915190733,0.0027878610643937646,0.00341220449000815,0.005245077891544423,0.00800394761314661,0.0007155660619474505
0.3,0.023688085690945923,0.005096674172798347,0.0028721468850627773,0.053261886206620944,0.008851362883513746,0.01083911829266234,0.016911892624590977,0.024979597383089195,0.0022322114803290534
0.5,0.04101402883760897,0.008819171256638343,0.00495370858483142,0.08879597221028739,0.01548208993895429,0.018969411585905756,0.029761719956337595,0.04297727142692958,0.0038561185829468878
0.7,0.05946949954897355,0.012777012891325115,0.0071591770911427445,0.12391265099179997,0.022600256544363238,0.027708939923485283,0.04347573298105939,0.06174513495493953,0.005580021469321432
0.9,0.07897080756704082,0.016952180219677575,0.009481173973993291,0.15835119192097888,0.03014118198743971,0.03698284896598064,0.057827828047672336,0.08108691457465213,0.007397409854017629
1.0,0.08908761162706727,0.019116164370010447,0.010683714119012117,0.17525604061178357,0.03405283921869917,0.041800430354168264,0.0651882872232295,0.09092270225322502,0.008339291635640433
2.0,0.20126389365332045,0.04314653293136851,0.02404838152706696,0.32989400559735443,0.07705257574273329,0.09515771587613411,0.14209859460011667,0.19196110080345966,0.01882064223735678
3.0,0.32687283057041616,0.0705364482768972,0.03937388641233275,0.45675118582936836,0.12427663053121767,0.15484002045656026,0.21908759972059513,0.29181154158519357,0.030852431249420616
4.0,0.45787471615316877,0.1001527407869778,0.056072244951706256,0.5590480593475882,0.1728285335773406,0.21769587622962155,0.2918790386419408,0.3859612853889872,0.04398250650006164
5.0,0.5882241199286509,0.13110900474497006,0.07364614848252053,0.6416760907058164,0.22080106197180813,0.2815783904976826,0.35889429283015595,0.4727289891026099,0.057843617524956294
6.0,0.7137872236026563,0.16270129952263013,0.09167786190047872,0.7089824578314676,0.2669625915767057,0.3449857868163115,0.41976513195712284,0.5517601095016871,0.07213346053628751
7.0,0.8320215891161001,0.1943739814307248,0.1098239908688554,0.7643930648599829,0.31056529434539515,0.40687544859837166,0.4746814590526484,0.6233244392342152,0.08660450405086968
8.0,0.9415885481856273,0.22569558623395874,0.12780998386959294,0.8105101977843471,0.3512054052884506,0.4665436567347548,0.5240762268640526,0.6879657135680437,0.10105686633198317
9.0,1.0419944336876055,0.25633885896436504,0.14542324715196112,0.8492941684829858,0.38871770523531185,0.5235389908708258,0.568468506302583,0.7463237999021394,0.11533219719339033
10.0,1.133300007189157,0.28606319344909553,0.1625052263273561,0.8822265983930787,0.42309668560175506,0.5775970680820648,0.6083857633669736,0.7990456201765559,0.12930798788394773
20.0,1.6719356644340007,0.5160621608648613,0.29293052418249677,1.0491146455574667,0.6304932707267623,0.9599555915869312,0.849125021741111,1.124049585468923,0.24190478169572585
30.0,1.86825998717509,0.6424112551015507,0.361762249988215,1.105744178312817,0.7010118339493441,1.1426056868770196,0.9514294612465621,1.2674438651110183,0.30779640052170726
40.0,1.9478285714136085,0.7101356894950931,0.39725222668350085,1.1298589173144378,0.7191033874646534,1.2269398713256097,1.0022253523100422,1.3397974895706282,0.3452398410107356
50.0,1.9810731472823295,0.7467013925550985,0.41586274402929085,1.1406679283537375,0.7152439014954631,1.262215851669454,1.0296989330882256,1.3784320291486953,0.36705907785978453
