NAME,H2S_Heat,CO2_Heat,CH4_Heat
ABW-0,-19.14019317,-27.09457015,-14.85912704
ABW-1,-17.74923401,-22.07896487,-6.406619241
ACO-0,-18.97446419,-22.64127581,-17.98073571
AEI-0,-16.37312404,-19.81874219,-16.09599575
AEL-0,-18.06048861,-23.30195416,-19.64306918
AEN-0,-20.21150836,-28.43323482,-16.23021399
AET-0,-12.55462242,-14.77848063,-13.15768108
AET-1,-19.62244028,-17.7919044,-12.95840569
AFG-0,-19.38391816,-21.77931495,-19.60816909
AFG-1,-27.45992959,-24.54586844,-19.01257733
AFI-0,-13.2639241,-16.07882671,-14.32115257
AFN-0,-19.14415661,-25.01054376,-18.89428715
AFO-0,-17.96267936,-22.97802019,-19.32337568
AFR-0,-16.86086827,-17.41086809,-14.69588704
AFS-0,-15.67434068,-17.03808712,-14.30768966
AFT-0,-16.41436582,-20.59818024,-16.32598788
AFV,-17.74339344,-20.95719065,-18.05531625
AFX-0,-16.56856623,-21.02967692,-16.50198505
AFY-0,-21.26018989,-20.24161767,-14.5546777
AHT-0,-17.65329907,-27.3344467,-4.704979277
APC-0,-20.74582697,-26.23545689,-15.63680807
APD-0,-24.15511018,-28.53959733,-22.75637574
AST-0,-16.80040696,-20.03275393,-18.41204391
AST-1,-20.03816349,-24.28184644,-20.87944445
ASV-0,-22.31205352,-28.03330327,-20.85839101
ATN-0,-21.57047888,-27.82335596,-21.24419313
ATN-1,-48.63816674,-62.61366162,-34.12213829
ATO-0,-16.96170632,-21.02151041,-18.84314151
ATS-0,-15.78839546,-18.71333349,-14.55636297
ATS-1,-16.2777509,-18.7908647,-14.7969884
ATT-0,-21.45763332,-29.28446641,-20.94194586
ATV-0,-21.40952752,-25.20044922,-22.31249118
ATV-1,-21.58657451,-21.82823246,-19.49139413
AVE,-18.23505782,-21.51143083,-18.9536529
AVL,-19.0630933,-24.41430795,-18.98304355
AWO-0,-27.90701173,-29.13098043,-22.25761653
AWW-0,-18.39079563,-21.67001513,-18.64189903
BEA-0,-15.01707099,-17.25544113,-14.95602691
BEA-1,-15.25676096,-17.41749806,-15.00218731
BEA-B-1,-15.31694766,-17.37507675,-14.88425859
BEC-0,-14.64806853,-17.12034302,-15.02267668
BEC-2,-14.77219854,-17.58616026,-14.32958358
BIK-0,-21.1390147,-29.00180227,-15.98765623
BIK-1,-15.58282656,-24.29551869,-6.513752588
BOF-0,-20.40893446,-24.7210728,-20.44050883
BOG-0,-15.30894591,-17.97573912,-15.7476461
BOG-1,-17.06945865,-19.12493608,-15.81184911
BOZ-0,-14.1510175,-16.46169282,-14.46332101
BPH-0,-15.2852256,-17.68597393,-14.51578651
BRE-0,-21.53762581,-28.45240251,-21.67117216
BRE-1,-22.57077188,-27.98646765,-20.48353324
BSV-0,-19.48255578,-23.23930957,-21.40946495
CAN-0,-16.88857815,-19.21604135,-17.59802875
CAN-1,-19.9715933,-19.95284822,-18.39022281
