Name,q_CO2,q_CH4
ACO_0,0.9429315476949621,2.437587910031211
AEI_0,1.8471736340127765,1.2025044178100976
AEI_1,1.364102979329733,1.8687600240575217
AEL_0,0.5403419605471319,0.8752421619811727
AEL_1,0.5031324363838908,0.9906607415039076
AEL_2,0.5146852847444429,0.9737575971813027
AET_0,0.6694526363113247,0.8154450723637644
AET_1,0.8437635339072127,0.9770245539640168
AFI_0,0.8371252634080749,0.9490590341147783
AFI_1,0.8104502269262545,0.8962993215473506
AFN_0,0.6170388201170462,0.983252077539366
AFO_0,0.5247003673275477,0.9042707838098939
AFO_1,0.42284814726807396,0.9815634849376935
AFR_0,1.4085290028319757,1.8886912278628565
AFR_1,1.319155546268853,2.2229035594679414
AFS_0,1.4704427776351587,2.146465031262571
AFS_1,1.5446233438984134,2.2220893119049747
AFT_0,1.3151320414868497,1.6492854038351559
AFT_1,1.2651913354560258,1.5123176282146251
AFV,1.1100815625760956,1.1974641348802877
AFX_0,1.3381296709655675,1.6521380483028336
AFX_1,1.1580221480765118,1.477422836154372
AFY_0,1.8881651118056584,3.186673353939462
AHT_1,0.6933334373101048,1.6154120274050368
APC_1,0.9820011070475034,0.8752081749102525
APC_2,0.28055263179873147,0.38518004660424493
APD_0,0.031128458170124846,3.6259036808752594
ASV_0,0.4832891018941955,1.2650342242993886
ATN_0,0.6724639775591458,1.302379291417965
ATN_1,0.45101610753619226,0.915231947122829
ATO_0,0.4708101085014317,0.8270470680785236
ATO_1,0.46480209930543637,0.8456524236967365
ATS_0,1.0540740152433734,1.2223073730101084
ATS_1,0.9869556656460055,1.1986590545083187
ATT_0,0.8595098892981441,1.7641290457633523
ATT_1,0.9204662787102645,1.6088666776845109
ATV_0,0.013554494123450231,2.2612126420750984
AVE,0.938802457084339,1.3287858717368246
AVL,1.1035214939021998,1.4162001214223952
AWO_0,0.11159516392219052,2.326229774644583
AWO_1,0.4757910560076649,1.9526468585160242
AWW_0,0.9167379234695164,0.9142496331458415
BEA_0,1.4543924354687014,1.5940615733390395
BEA_1,1.46086648383829,1.6036754274798202
BEA_B_1,1.4378771870519662,1.5689286853489408
BEC_0,1.4796777621978998,1.5142049057794582
BEC_2,1.4830424416713917,1.5076043779094446
BOF_0,0.7898567783310063,1.7167596357232664
BOG_0,1.207982483632823,1.5991212030368487
BOG_1,1.2130059380807456,1.6572022305715215
BOZ_0,1.499489789342528,2.322387666500711
BPH_0,1.4574813141183842,1.7462529483537037
BRE_1,0.6011041963301337,1.3128783645981623
BSV_0,0.5304531872576951,1.7928449021486423
CAN_0,0.6148932194820647,1.0575353829890823
CAN_1,0.5193749123144579,1.1370470712058174
CDO_0,0.613547857142479,1.126204258840015
CDO_1,1.1944504390328525,0.5634312676955787
CFI_0,0.770508171515152,0.8864049122701605
CFI_1,0.6833506257886791,0.8397352423257236
CGF_0,0.4767234172248586,1.2734754813982831
CGS_0,0.8601447675672019,1.1106439093521612
CHA_0,1.2862237911338883,1.5950241898523945
CLO_0,2.0895238260663413,2.438541432486952
CON_0,1.3515499894020406,1.5993733713307758
CON_1,1.2692411526151421,1.5587056841490632
CON_2,1.3061329147296172,1.609557440738769
CSV,1.2689428848592588,1.5992965003174735
CZP_0,0.38915990012188223,0.6815890038584788
DAC_0,0.49850258189022995,2.313975486527373
DDR_0,0.14316474932006867,2.4213046635215596
DDR_1,0.21378803254491677,2.493021201436727
DFO_0,1.5098716484008223,1.7907723678144847
DFO_1,1.5605303369566983,1.7927026697337392
DFT_0,0.12740081347256438,3.5851710669971832
DON_0,0.8737298807042373,1.0344862030860327
DON_1,0.8728186244550953,1.022480650530013
EAB_0,1.1532522942131227,1.4726652210865245
EAB_1,1.0575548621714679,1.4403092540320304
EAB_2,0.9665412600059943,1.3653487127542787
EDI_0,0.7908506223099842,2.2693859854899263
EDI_2,1.0380301968227668,1.931613714960115
EMT_0,1.8987210434441455,2.4192280746410253
EMT_1,1.8383248684673523,2.410468466692402
EMT_2,1.8465420513543114,2.376475533257601
EON_0,0.6793614165065168,1.4109852554977844
EON_1,0.6601854600836795,1.2286492836702223
EPI_0,0.7038100963490925,1.9575105921725335
EPI_1,0.5741922010019412,1.985362292318694
ERI_0,1.099749376760706,1.275147081642033
ERI_1,1.1083636866472555,1.2762346766147374
ERI_2,1.0443134581054105,1.2361147979649931
ESV_0,0.5938717634107301,1.0126345458436852
ESV_1,0.6580240814367543,1.350172460157719
ETL,0.39495146375646306,0.563360067469252
ETR_0,1.1717867110687967,1.4869068371216476
ETR_1,1.1167786417364163,1.3866171470475983
EUO_0,0.853155407139918,1.048898459729574
EUO_1,0.8269238354127578,0.9617299189284875
EWS,0.9658983788856192,1.3137586313928256
EZT_0,0.9365634674426233,1.3544476625972777
EZT_1,0.9526174744662679,1.3169233052274427
FAU_0,1.933291036268245,2.4510810764259654
FAU_1,1.9245241082016433,2.386969338156371
FAU_2,1.9217471779622215,2.3996745907208825
