Name,q_H2S,q_CH4
LTL_1,0.768157631711633,1.185740821622215
LTL_2,0.7603037921952839,1.1659387554924054
MAZ_0,0.6641373010460152,1.2195518120885802
MAZ_1,0.6463742076551833,1.1752474337737264
MEI_0,1.2422712876923516,2.0788219659915406
MEI_1,1.2636046682469746,2.0755259314340404
MEL_0,0.9348838082453609,1.5041676610747994
MEL_1,0.8715462877777446,1.4844738954431707
MEL_2,0.9565687799407119,1.544393297346799
MER_0,0.8147367933320927,1.315303214185564
MER_1,0.7027529861308768,1.2123669368568197
MER_2,0.23662875597084024,0.5898690388156133
MFI_0,0.90081190557049,1.4285256832922644
MFI_1,0.9900747400222505,1.5916143579304864
MFI_2,0.9696753894872597,1.5644708285703113
MFS_0,0.783482183297303,1.17372931407451
MFS_1,0.7590469943486354,1.1624694985866992
MON_0,0.40889600594867326,0.28901992664699516
MOR_0,0.9486267343259247,1.6751453800602807
MOR_1,0.8576625845049601,1.5763730352940821
MOZ_0,0.745743269168452,1.2247427179758574
MOZ_1,0.81334919947926,1.263225855195123
MRE_0,0.41509786099889545,0.8066410854136027
MRE_1,0.4683379625430378,0.7650488679760566
MRT,0.6810057679197518,1.088794645237167
MSE_0,0.9625094065056078,1.4752267056595934
MSE_1,0.9336014057831817,1.454126242565358
MTF_0,0.4895246558806867,0.6863854387248299
MTF_1,0.4265019646303125,0.6465965136873325
MTT_0,0.5015259996130624,0.8703123631215562
MTT_1,0.4694672097002104,0.8784674575933697
MTW_0,0.6465537252728042,0.9287091322103533
MTW_1,0.5243071695380733,0.7959550667758756
MWF,1.1407790033631513,1.8948082416814462
MWW_0,1.229108610371983,1.7982365253409776
MWW_1,1.2095964471882876,1.7570192201577925
NAT_0,1.3020395320954985,1.6420191022313821
NES_0,0.9409220568380298,1.3483841928070766
NES_1,0.8423041205105092,1.2686770085130206
NPT_0,1.0297604997217775,2.0431734762544074
OBW_0,1.246382021263631,2.455983166785861
OFF_0,0.8134095168337712,1.5127235363443017
OFF_1,0.8836297033656568,1.5531627928559193
OFF_2,0.8116678257308338,1.5081018135806463
OKO_0,0.9117819072635306,1.4109059789265552
OKO_1,0.8728504539024772,1.353445634516754
OSI_0,0.6216351072651367,0.7550418012278834
OSI_1,0.47167070446865766,0.6821311751921204
OSO_0,1.4030559508945704,2.0653522120837278
OSO_1,1.3103658199591366,1.953963606235023
OWE_0,0.7519506420312192,1.5323377340985083
PAU_0,1.2369231309133935,1.9186145648742028
PAU_1,0.9737557359061704,1.6073769285779247
PCR_0,0.6581301155590815,1.2894303024660074
PCR_1,0.6863347169288043,1.2689558953567668
PHI_0,0.8714069081372321,1.5733607418205426
PHI_1,0.8468525017182504,1.7342504271093073
PHI_2,0.5561956128058692,1.1983856784542009
PON_0,0.7762572535608591,1.4905003494850129
PON_1,0.891780701984099,1.3522351994883903
POR,0.6981245620871319,1.4588184176804602
POS,1.1610525696471703,1.7603036058704842
PSI,0.2780988433089806,0.5319939777972496
PUN_0,1.1007543527812123,2.0394774328314287
PWN,1.3784322749284075,1.958251377517635
PWO,1.3650180686116353,1.8266519252572968
PWW,1.149569089538222,1.8052770968693468
RHO_0,1.8720807076252994,2.700777904383817
RHO_1,1.2991700491140237,1.8364434220468624
RON_0,0.6597157123095149,0.9239752631388173
RRO_0,0.5511857953735361,0.5427191839338804
RSN_0,0.7054515544436449,0.9268121299675461
RTE_0,0.7489357672642203,1.1835407154144937
RTE_1,0.7697531863581937,1.2097883498817157
RTH_0,1.3559550734357704,1.6244468373995076
RTH_1,1.3721165109168594,1.6233429861759567
RWY_0,1.8980256839155314,3.3312166502059672
SAF_0,0.5631991025706808,0.851482541296694
SAF_1,0.5872277739751639,0.8799031186941687
SAO_0,1.4226298696938813,1.9803444445842744
SAO_1,1.3960777630417853,1.9701130830516085
SAS_0,1.2451151858228595,1.6458134409426624
SAS_1,1.2510938143903951,1.6232124997649693
SAT_0,0.7203343441343949,1.3407824815049414
SAT_1,0.7007029713369824,1.3557855718183698
SAV_0,1.2337702166140898,1.7805338568586928
SBE_0,1.3813243644397368,2.084234198235916
SBS_0,1.3933818485744025,2.0359507265209316
SBT_0,1.396452322381532,2.029086423444791
SEW_0,1.2417958531112328,1.7096627189608304
SEW_1,1.1152370251452999,1.708945492310022
SFE_0,0.7735841885782578,1.1461192300781566
SFE_1,0.7419665959542078,1.119872849954366
SFF_0,1.0567575408094474,1.30315678189622
SFF_1,1.3585211602972875,1.6982157614432316
SFG_0,0.7217557888409804,1.1548370785693076
SFG_1,0.7537935869447713,1.1554743392408207
SFH_0,0.7609663388450926,1.0979056738711401
SFH_1,0.7419865520618246,1.056578434710161
SFN_0,0.8013275722892418,1.1155061955326546
SFN_1,0.766895390902416,1.055317769968043
SFO_0,1.3156458146035936,1.832934959808985
SFS_0,1.1305621538733484,1.6725777700129152
SFS_1,1.150088122823487,1.685979692595819
SFW_0,1.146986841383467,1.807104376414895
SFW_1,1.0801932911416527,1.7212280140660587
SIV_0,0.9561442578191267,1.9076258360330365
SOF_0,1.3993984299017455,1.9691971850630332
SOR,0.6927660827166018,1.149834605705651
SOS_0,0.4811358272578955,0.7062500794924204
SOV,1.164832208711897,1.7780532338654569
SSF_0,0.8682590499446147,1.2672491189579682
SSF_1,0.8472923645969381,1.2483327672919524
SSY_0,0.7429306958414149,1.094268121264635
SSY_1,0.7020822579271664,1.0907914285152838
STF_0,1.3043091891007614,1.6578847642803134
STF_1,1.2459657788283622,1.5741444436688277
STI_0,0.8702124371492805,1.541642364755602
STI_1,0.8061392542401984,1.477539891781762
STI_2,0.8359290440938474,1.5137659466313311
STI_3,0.8349828532799747,1.5035799500487128
STO_0,0.6334648579186684,0.9283130184165931
STO_1,0.6324273293820397,0.9303659867261864
STT_0,1.0287690154442013,1.4828597931949385
STT_1,0.9844421866170263,1.462851960339894
STW_0,1.493031918056453,2.2130994040671514
SVR_0,0.9164848284901032,1.5319642159783808
SVR_1,0.9143185915810982,1.5308023317294948
SWY,0.8390827459326426,1.4881649200132676
SZR_0,0.7677922729979969,1.0796763007007146
SZR_1,0.7781092017737377,1.0700196468698442
TER_0,1.0584031508563922,1.726528809491474
TER_1,1.040679065940859,1.686629175542135
THO_0,0.9110255123793122,1.9603416756123693
TON_0,0.700614778863517,1.1410459349596571
TON_1,0.693369839302426,0.9916099234937572
