Pressure,AEI_0,APC_1,APC_2,CDO_1,GIS_1,ITV_0,IWR_0,PWN,WEI_0
0.0,6.173433260103764e-08,3.765000546545944e-08,1.6313522259173172e-08,1.8682870516837165e-07,1.309037834609561e-07,1.8523048301821685e-07,4.6685160952763603e-07,4.0718017679531134e-07,1.2850001887580493e-08
0.5,0.0173445317308001,0.009689532797355047,0.004234709116590311,0.04463580890382303,0.03365016697774274,0.047278064032317206,0.11504114438104933,0.10043512865676411,0.003312443081105926
1.0,0.03817390733784057,0.019801265553017765,0.008738568159194156,0.08452804058879798,0.06840569146455559,0.09554355788617054,0.22381724158807564,0.19628869868881857,0.00678102904913988
1.5,0.06194147453354422,0.030177934638364972,0.01345252403307456,0.11952624724045874,0.10357490331257992,0.14397571688070615,0.3249121023115762,0.28625635844385844,0.010354008241525036
2.0,0.08811197727542117,0.040717737920304406,0.018332614208392335,0.15004650373459935,0.13876304877488746,0.1921435199532807,0.41828163090480736,0.3700699042187057,0.013996302716310721
2.5,0.1161770208279655,0.05134862629090872,0.023343571808685352,0.17666695410953687,0.1737054653497268,0.2397787173355553,0.5042935382006211,0.4478706744047468,0.017682352753449582
3.0,0.14566689822474618,0.06201668714646472,0.02845574246693261,0.19996591197075897,0.20821219706330782,0.2867008961035349,0.5834637098876077,0.5199796451785597,0.02139262529696629
3.5,0.17615828859676508,0.0726801499499088,0.03364347661822755,0.220462598117494,0.24214354976743213,0.33278474032022926,0.6563510954238334,0.5867928902548133,0.025111717338753902
4.0,0.2072781824621777,0.08330596185200229,0.03888423521929984,0.238601534086168,0.2753968783713681,0.37794287051102365,0.7235094932999295,0.6487288561212375,0.02882723485476852
4.5,0.2387047075528632,0.09386766359162359,0.04415805980046168,0.2547547239909794,0.30789825535895526,0.4221156062070653,0.7854646954932946,0.7062006787968131,0.03252908210842882
5.0,0.2701656120047481,0.10434397790857072,0.04944723499315602,0.26923020562073824,0.3395965901732803,0.4652642491079108,0.8427042786755137,0.759601772058225,0.03620898329933415
5.5,0.30143512328501365,0.11471781501356088,0.054736054568023815,0.28228203755638837,0.37045915079962455,0.5073663559001679,0.8956740592583257,0.8092988251590868,0.03986014341016026
6.0,0.3323298017757321,0.12497553650622112,0.06001064346674232,0.2941197231893913,0.400467989876822,0.5484122366903468,0.9447781176693207,0.8556290398704678,0.043476996644104274
6.5,0.36270388501432094,0.13510638787482657,0.06525881011761195,0.304916386601886,0.42961701702329885,0.588402264305992,0.9903806975021483,0.8988997984387317,0.047055012475506676
7.0,0.3924444953954049,0.14510204627823872,0.07046991522024075,0.3148155838465455,0.4579095696681374,0.6273447526064855,1.032809022018357,0.9393896962046594,0.050590541189258056
7.5,0.4214669737020803,0.1549562506996634,0.07563474981552533,0.3239368597703072,0.4853563884172609,0.6652542535544802,1.0723564801064789,0.9773502987582139,0.054080687561225776
8.0,0.4497105090834713,0.16466449338566402,0.08074541917601089,0.3323802331765261,0.5119739304883761,0.7021501742512648,1.1092858698828707,1.013008237124306,0.05752320534633835
8.5,0.4771341643233031,0.17422375857231398,0.08579523111125302,0.34022979951852644,0.5377829698263903,0.7380556455759846,1.1438325272165544,1.0465674090667285,0.06091640769146246
9.0,0.503713342041189,0.18363229887436325,0.09077858837917663,0.347556620992598,0.5628074416180608,0.7729965929587167,1.176207249313418,1.078211150212202,0.06425909012497319
9.5,0.5294367001071919,0.19288944248337364,0.09569088542841578,0.3544210471017035,0.5870734951274436,0.8070009720881326,1.2065989728724689,1.1081042982444358,0.06755046375804329
10.0,0.5543034998930848,0.20199542611877028,0.10052840990523343,0.36087458226101965,0.6106087235266289,0.8400981406812108,1.235177195434206,1.1363951104949557,0.07079009697546501
10.5,0.5783213560144924,0.21095124987184394,0.10528824938454975,0.36696139371961184,0.6334415433741734,0.8723183433317065,1.2620941452518648,1.1632170181588795,0.07397786432239042
11.0,0.6015043483091722,0.21975855089924318,0.10996820371444564,0.3727195337038895,0.6556006998962891,0.90369229078174,1.2874867141203115,1.1886902142578089,0.07711390158484462
11.5,0.6238714538047003,0.228419493495691,0.1145667032495929,0.37818193405951017,0.6771148773772719,0.9342508182511733,1.3114781720506565,1.2129230806280424,0.08019856626433472
12.0,0.6454452566900144,0.23693667349051148,0.11908273312246122,0.38337721926587615,0.6980123968125678,0.9640246100349981,1.334179684322639,1.2360134637213098,0.08323240279085875
12.5,0.6662508965810182,0.24531303522272646,0.1235157635795626,0.388330373945662,0.7183209855374155,0.9930439796437802,1.3556916514338067,1.2580498112143004,0.08621611192373009
13.0,0.6863152187730021,0.2535517995892723,0.1278656863027176,0.39306329336023615,0.7380676058253491,1.0213386964490703,1.3761048915158292,1.279112182203575,0.08915052386862442
13.5,0.7056660940898378,0.26165640185238065,0.1321327565464475,0.39759523942005986,0.7572783314643338,1.0489378511936969,1.395501683352982,1.299273143677785,0.09203657470047133
14.0,0.7243318799675844,0.26963043804970444,0.13631754085301556,0.4019432200812211,0.7759782630780988,1.0758697538977335,1.4139566864924622,1.3185985653733479,0.09487528573076202
14.5,0.7423409982957548,0.27747761898373025,0.14042087005542692,0.4061223063548208,0.7941914744842234,1.1021618586789343,1.4315377532472051,1.3371483242659281,0.0976677454981582
15.0,0.7597216091375358,0.2852017308815726,0.14444379724392603,0.4101458982979071,0.8119409836893121,1.127840710844306,1.448306645756182,1.3549769289757925,0.10041509409539047
15.5,0.7765013626884136,0.292806601916512,0.14838756035085854,0.41402594910681806,0.829248743237129,1.1529319123224109,1.464319669737412,1.372134073361797,0.10311850957493172
16.0,0.7927072146866491,0.3002960738714017,0.15225354899974086,0.4177731546600271,0.8461356455699373,1.1774601021136637,1.479628235170411,1.3886651276012525,0.1057791962018995
16.5,0.8083652929648564,0.3076739783032444,0.15604327526467288,0.4213971144528738,0.862621539857932,1.2014489489542965,1.4942793528857687,1.4046115741322962,0.10839837434580639
17.0,0.8235008049531959,0.31494411663919947,0.1597583479937201,0.42490646874996535,0.878725257416617,1.2249211538320062,1.5083160749183167,1.4200113949874407,0.1109772718236302
17.5,0.8381379777442519,0.32211024369803654,0.16340045036273096,0.4283090158900126,0.8944646433856431,1.2478984603684888,1.5217778854894897,1.4348994162779065,0.1135171165255597
18.0,0.8523000238440755,0.32917605418838564,0.1669713203426875,0.43161181296408485,0.9098565928014528,1.2704016714055169,1.5347010486136865,1.4493076148983466,0.11601913017193252
18.5,0.8660091269998695,0.33614517178668163,0.1704727337828102,0.43482126251425907,0.9249170895746921,1.2924506704047547,1.5471189175611784,1.4632653919074015,0.11848452306549546
19.0,0.8792864435472217,0.34302114044399257,0.17390648983222198,0.4379431874361845,0.9396612471944207,1.314064446504047,1.5590622107447818,1.476799816496006,0.12091448971733407
19.5,0.8921521155904927,0.3498074176124464,0.17727439844419224,0.44098289589351874,0.9541033502357213,1.3352611222702246,1.570559258017864,1.4899358439763373,0.12331020523774427
20.0,0.9046252930473818,0.35650736911912784,0.1805782697282041,0.4439452377466328,0.9682568959547625,1.356057983355632,1.5816362208669261,1.502696510803467,0.12567282239506153
20.5,0.9167241621775896,0.36312426544852067,0.18381990493585182,0.4468346537485013,0.9821346354237156,1.3764715094069415,1.5923172895435649,1.5151031092728278,0.12800346925610853
21.0,0.9284659786973171,0.3696612792241603,0.18700108888652725,0.44965521855622237,0.995748613793956,1.3965174056940952,1.6026248597994908,1.5271753442136369,0.13030324733155044
21.5,0.9398671039742924,0.37612148370648535,0.19012358365778229,0.4524106784384613,1.0091102093853297,1.4162106350276806,1.6125796915571327,1.5389314737160018,0.1325732301581447
22.0,0.9509430431175891,0.3825078521472408,0.1931891233829985,0.4551044844203125,1.0222301713867523,1.4355654496174257,1.622201051560391,1.5503884356825703,0.13481446225769944
