Name,H2S_CH4,CO2_CH4
LOV_0,0.699893562,0.286159371
LTA_0,0.618333993,0.699330338
LTA_1,0.618333993,0.755848359
LTA_2,0.618333993,0.756549614
LTF_0,0.497617409,0.671630586
LTF_1,0.519503223,0.707731885
LTL_0,0.652300282,0.733212474
LTL_1,0.655531602,0.737329325
LTL_2,0.639737157,0.723928983
MAZ_0,0.541207925,0.665228858
MAZ_1,0.55739153,0.706381951
MEI_0,0.619179685,0.730576211
MEI_1,0.614811774,0.768332548
MEL_0,0.562931681,0.575588618
MEL_1,0.528705775,0.518744735
MEL_2,0.523765916,0.530446081
MER_0,0.613583367,0.487504653
MER_1,0.695227336,0.492686761
MER_2,0.571365945,0.661148209
MFI_0,0.571013155,0.510489252
MFI_1,0.549935137,0.481171049
MFI_2,0.548801394,0.509818834
MFS_0,0.594164595,0.584325895
MFS_1,0.585018851,0.538310515
MON_0,1.478078659,0.61004576
MOR_0,0.574777586,0.366580912
MOR_1,0.549256786,0.323732786
MOZ_0,0.561694021,0.682903253
MOZ_1,0.599565993,0.70762052
MRE_0,0.464227463,0.561318816
MRE_1,0.456457905,0.504649407
MRT,0.552374212,0.610315955
MSE_0,0.595713942,0.776053417
MSE_1,0.589921534,0.74020139
MTF_0,0.598365069,0.692419325
MTF_1,0.522129725,0.656380286
MTT_0,0.525787718,0.658176383
MTT_1,0.478967365,0.53360739
MTW_0,0.623510315,0.644370934
MTW_1,0.564088087,0.690027835
MWF,0.657967964,0.52065348
MWW_0,0.606188236,0.686914617
MWW_1,0.613590506,0.668254923
NAT_0,0.801051966,0.711041079
NES_0,0.623376543,0.743732247
NES_1,0.623376543,0.718295151
NPT_0,0.57730736,0.654946721
OBW_0,0.616111729,0.657528394
OFF_0,0.511941728,0.729447715
OFF_1,0.545722384,0.735730135
OFF_2,0.54263,0.747888946
OKO_0,0.577538673,0.702739505
OKO_1,0.599228784,0.71629012
OSI_0,0.63775557,0.698924653
OSI_1,0.685684753,1.001054174
OSO_0,0.670813646,0.696289451
OSO_1,0.683794616,0.702903279
OWE_0,0.483043022,0.530384947
PAU_0,0.670005205,0.52969497
PAU_1,0.649454331,0.550698508
PCR_0,0.506420866,0.367389451
PCR_1,0.544020797,0.359186152
PHI_0,0.582897676,0.532975969
PHI_1,0.633621268,0.330259376
PHI_2,0.547459529,0.573868876
PON_0,0.572562055,0.404855725
PON_1,0.641851716,0.755854556
POR,0.487826393,0.577135995
POS,0.607232562,0.754732937
PSI,0.537474449,0.419609751
PUN_0,0.570232287,0.677283524
PWN,0,0.530016573
PWO,0.656655584,0.577743673
PWW,0.577131371,0.53886915
RHO_0,0.654508034,0.487437746
RHO_1,0.736413799,0.667684798
RON_0,0.642479539,0.515295116
RRO_0,1.108860711,1.262014587
RSN_0,0.809977011,0.423495343
RTE_0,0.564266432,0.759817429
RTE_1,0.581632391,0.739781366
RTH_0,0.713578665,0.68485795
RTH_1,0.691075298,0.677404711
RWY_0,0.718788801,0.866943704
SAF_0,0.622495359,0.66292756
SAF_1,0.594350062,0.661664738
SAO_0,0.668975173,0.859849958
SAO_1,0.764411587,1.047293157
SAS_0,0.673196194,0.761518054
SAS_1,0.750403775,0.910288855
SAT_0,0.500710179,0.730137984
SAT_1,0.490361211,0.976407476
SAV_0,0.649041568,0.730913114
SBE_0,0.675261218,0.679418825
SBS_0,0.687065398,0.843102624
SBT_0,0.687472431,0.837454143
SEW_0,0.577277143,0.580613266
SEW_1,0.597939832,0.599212057
SFE_0,0.646226035,0.706883053
SFE_1,0.605185037,0.645870358
SFF_0,0.660920445,0.733409783
SFF_1,0.684619307,0.663816981
SFG_0,0.577947195,0.650909792
SFG_1,0.573697091,0.633260158
SFH_0,0.66384775,0.808693521
SFH_1,0.64904903,0.793252975
SFN_0,0.690215135,0.814665432
SFN_1,0.666548302,0.764599276
SFO_0,0.690433795,0.739832657
SFS_0,0.607866912,0.622745709
SFS_1,0.59407181,0.609010449
SFW_0,0.638444356,0.708983834
SFW_1,0.642150154,0.68305102
SIV_0,0.578225038,0.478424107
SOF_0,0.669118902,0.618140849
SOR,0.590522897,0.724254123
SOS_0,0.754171939,0.87319818
SOV,0.607669095,0.793079921
SSF_0,0.646513905,0.765405278
SSF_1,0.627386151,0.72831935
SSY_0,0.654491418,0.749179863
SSY_1,0.625959437,0.686563922
STF_0,0.670701913,0.653195687
STF_1,0.687907022,0.683977114
STI_0,0.547659755,0.673541382
STI_1,0.536109869,0.680904187
STI_2,0.528195325,0.67146805
STI_3,0.537937991,0.672990714
STO_0,0.623686185,0.65227003
STO_1,0.614709741,0.647667409
STT_0,0.619111435,0.658231751
STT_1,0.609055399,0.702745016
STW_0,0.631530381,0.53456746
SVR_0,0.531476843,0.516841919
SVR_1,0.546728516,0.523209325
SWY,0.53361956,0.74888001
SZR_0,0.610392204,0.543001201
SZR_1,0.636097186,0.517288052
TER_0,0.568073464,0.54674418
TER_1,0.597041364,0.547601415
THO_0,0.534224813,0.438529874
TON_0,0.580134288,0.49828413
TON_1,0.541206341,0.466534762
TSC_0,0.669393921,0.71825335
TSC_1,0.682108027,0.753836913
TUN_0,0.583582933,0.556891653
TUN_1,0.583582933,0.580261493
UEI_0,0.532029094,0.177670856
UFI_0,0.563064248,0.661212829
UFI_1,0.566429618,0.645247987
UOS_0,0.60934181,0.47277755
UOV,0.587141233,0.763589032
USI_0,0.636625904,0.727008181
UTL_0,0.672737477,0.778638775
UWY_0,0.606423401,0.625336605
VET_0,0.516274624,0.739306248
VET_1,0.558416705,0.792925971
VFI_0,0.725669979,0.834079127
VFI_1,0.776048411,0.967797285
VNI_0,0.775552186,0.213248539
VSV_0,1.16292278,1.061075142
WEI_0,1.498909468,1.167599733
WEN_0,0.553762561,0.439974913
YFI,0.593799855,0.430989813
YUG_0,0.81141173,0.758392154
ZON_0,0.409574468,0.467652805
ZON_1,0.399430235,0.838195141
