Pressure,AEI_0,APC_1,APC_2,CDO_1,GIS_1,ITV_0,IWR_0,PWN,WEI_0
0.0,1.4830958502631873e-07,3.1917308678759006e-08,1.811022768196135e-08,3.522393012063976e-07,5.4025720444493046e-08,6.60867044258178e-08,1.0025516067893659e-07,1.5649857187873356e-07,1.4025659520208967e-08
0.5,0.04101402883760897,0.008819171256638343,0.00495370858483142,0.08879597221028739,0.01548208993895429,0.018969411585905756,0.029761719956337595,0.04297727142692958,0.0038561185829468878
1.0,0.08908761162706727,0.019116164370010447,0.010683714119012117,0.17525604061178357,0.03405283921869917,0.041800430354168264,0.0651882872232295,0.09092270225322502,0.008339291635640433
1.5,0.142922516943115,0.030627737088649593,0.01707996291010664,0.2560314749402621,0.054790488825426927,0.06743402759042133,0.1031829398668629,0.14112359365280447,0.013353572565477657
2.0,0.20126389365332045,0.04314653293136851,0.02404838152706696,0.32989400559735443,0.07705257574273329,0.09515771587613411,0.14209859460011667,0.19196110080345966,0.01882064223735678
2.5,0.26293688126936865,0.05649929643266939,0.031505132646339896,0.39668381212449383,0.10034600076967837,0.12443517723690371,0.1809412723342314,0.24241004856353798,0.024673341821470015
3.0,0.32687283057041616,0.0705364482768972,0.03937388641233275,0.45675118582936836,0.12427663053121767,0.15484002045656026,0.21908759972059513,0.29181154158519357,0.030852431249420616
3.5,0.39212494556606947,0.08512649530272016,0.04758447976982932,0.5106624115017776,0.14852439739451928,0.18602345126848072,0.25614635807324865,0.3397471326917479,0.03730481641388147
4.0,0.45787471615316877,0.1001527407869778,0.056072244951706256,0.5590480593475882,0.1728285335773406,0.21769587622962155,0.2918790386419408,0.3859612853889872,0.04398250650006164
4.5,0.5234310545723799,0.11551117506253437,0.06477766051858387,0.6025278139756867,0.19697745562510743,0.24961515467288362,0.3261501162635898,0.4303105482483761,0.050841956069704416
5.0,0.5882241199286509,0.13110900474497006,0.07364614848252053,0.6416760907058164,0.22080106197180813,0.2815783904976826,0.35889429283015595,0.4727289891026099,0.057843617524956294
5.5,0.6517956376169163,0.14686354139480973,0.08262792563013947,0.6770090424944317,0.24416445092434347,0.3134157848947723,0.39009423298935647,0.5132041531468462,0.0649516110223115
6.0,0.7137872236026563,0.16270129952263013,0.09167786190047872,0.7089824578314676,0.2669625915767057,0.3449857868163115,0.41976513195712284,0.5517601095016871,0.07213346053628751
6.5,0.7739278899801929,0.17855722122008802,0.10075532332412976,0.7379948977812893,0.28911571429925725,0.3761711209701301,0.4479438888471696,0.5884453999930825,0.0793598672457474
7.0,0.8320215891161001,0.1943739814307248,0.1098239908688554,0.7643930648599829,0.31056529434539515,0.40687544859837166,0.4746814590526484,0.6233244392342152,0.08660450405086968
7.5,0.8879353765041017,0.21010134848254447,0.11885165424912857,0.7884778387273694,0.3312705508521059,0.43702051075370985,0.5000374376489202,0.6564713744929982,0.09384382233075209
8.0,0.9415885481856273,0.22569558623395874,0.12780998386959294,0.8105101977843471,0.3512054052884506,0.4665436567347548,0.5240762268640526,0.6879657135680437,0.10105686633198317
8.5,0.9929429376187464,0.24111889085307264,0.136674286026857,0.8307166685141061,0.3703558529290767,0.4953956910711106,0.5468643374692823,0.7178892307333077,0.10822509308600196
9.0,1.0419944336876055,0.25633885896436504,0.14542324715196112,0.8492941684829858,0.38871770523531185,0.5235389908708258,0.568468506302583,0.7463237999021394,0.11533219719339033
9.5,1.0887656980090874,0.2713279858649447,0.15403867277061906,0.8664142239317185,0.4062946634363775,0.550945856768867,0.5889544030999082,0.7733499016729408,0.12236394060094198
10.0,1.133300007189157,0.28606319344909553,0.1625052263273561,0.8822265983930787,0.42309668560175506,0.5775970680820648,0.6083857633669736,0.7990456201765559,0.12930798788394773
10.5,1.1756561162686483,0.30052538781658006,0.1708101722781972,0.8968623922332646,0.4391386116597595,0.6034806177481811,0.6268238290162822,0.8234859953345215,0.13615374768820063
11.0,1.2159040265659122,0.31469904654166575,0.17894312704094725,0.9104366796495866,0.45443901329119646,0.6285906061638566,0.6443270106736785,0.8467426320715804,0.14289222098301327
11.5,1.254121539130979,0.32857183540870993,0.18689582058656934,0.9230507478610254,0.469019238365276,0.6529262756975847,0.6609507087665549,0.8688834941794412,0.14951585669163647
12.0,1.2903914800218161,0.3421342541755939,0.19466187070909047,0.9347939975837133,0.48290262247548,0.6764911697675604,0.6767472473564733,0.8899728296629225,0.15601841513962994
12.5,1.3247994926519104,0.35537931066744083,0.20223657135091896,0.9457455568424352,0.4961138430557261,0.6992924021330216,0.6917658869810465,0.9100711884574886,0.16239483962086024
13.0,1.3574323034828388,0.3683022222634714,0.20961669579616327,0.9559756529969013,0.5086783944095558,0.7213400235645984,0.7060528917911184,0.9292355037708723,0.1686411362409135
13.5,1.3883763789713635,0.3809001436369029,0.21680031507731093,0.9655467811669204,0.5206221646907182,0.7426464744005302,0.7196516329078793,0.9475192159622948,0.17475426206830186
14.0,1.4177169030574701,0.39317191944862784,0.22378663156522566,0.974514701276279,0.5319710983818547,0.7632261127002908,0.7326027148228841,0.9649724235470931,0.18073202151000825
14.5,1.4455370150863616,0.40511786058092836,0.23057582742018817,0.9829292907654072,0.5427509301006245,0.7830948087982741,0.7449441152849626,0.9816420501230068,0.18657297073187976
15.0,1.4719172576296886,0.41673954242491257,0.23716892736235512,0.9908352756176457,0.5529869776084974,0.802269598052036,0.7567113317976061,0.9975720191376518,0.1922763298665004
15.5,1.4969351921088845,0.4280396237000327,0.2435676750628415,0.9982728586306181,0.5627039837082538,0.8207683844815078,0.7679375298337153,1.0128034307342668,0.19784190269064209
16.0,1.5206651474295498,0.43902168428036575,0.2497744223512598,1.0052782607555426,0.5719259983022871,0.8386096888144784,0.7786536893414159,1.0273747366307597,0.20327000340972462
16.5,1.5431780730747546,0.4496900805246188,0.25579203037238923,1.0118841887357815,0.5806762932607654,0.8558124351951704,0.7888887471974689,1.0413219102579947,0.20856139015607683
17.0,1.5645414733738594,0.4600498166495994,0.2616237817951198,1.0181202401206746,0.5889773039352749,0.8723957714820293,0.7986697340616359,1.054678610320333,0.21371720478922876
17.5,1.5848194040725327,0.4701064307451983,0.2672733031734688,1.0240132549401892,0.5968505921694833,0.8883789186628605,0.8080219046689352,1.067476336629105,0.21873891857803884
18.0,1.6040725159914426,0.47986589409845176,0.2727444965759465,1.0295876218386888,0.6043168265234176,0.9037810454550397,0.8169688610212256,1.079744577560875,0.22362828334433968
18.5,1.622358133582744,0.48933452257123083,0.27804147963055786,1.0348655452300919,0.6113957761609575,0.9186211646405703,0.8255326682453683,1.0915109488541972,0.2283872876543121
19.0,1.6397303586728178,0.4985188988575098,0.28316853317391766,1.039867279008431,0.6181063154686758,0.9329180481149474,0.8337339631026115,1.102801323716395,0.23301811765548477
19.5,1.6562401917040863,0.5074258045294628,0.2881300557408345,1.0446113314911358,0.6244664369940662,0.9466901580098448,0.8415920552854598,1.1136399543922084,0.23752312217282384
20.0,1.6719356644340007,0.5160621608648613,0.29293052418249677,1.0491146455574667,0.6304932707267623,0.9599555915869312,0.849125021741111,1.124049585468923,0.24190478169572585
