Name,Recovery_max,H2S purity,Is_CH4_raffinate
IFO_0,-1.0,0.6169208786877927,0
IFO_1,-1.0,0.6254675206731457,0
IFR_0,-1.0,0.6158186320529511,0
IFR_1,-1.0,0.6138448597811923,0
IFT,-1.0,0.6067857142764661,0
IFU,-1.0,0.6173378856934486,0
IFW,-1.0,0.6207606515504148,0
IFY,-1.0,0.6168734849182331,0
IHW_0,-1.0,0.6162474484992801,0
IHW_1,-1.0,0.6135456231390946,0
IMF_0,-1.0,0.618144538506185,0
IMF_1,-1.0,0.6196964226322543,0
IRN,-1.0,0.6139369423950689,0
IRR_0,-1.0,0.5947353205197832,0
IRR_1,-1.0,0.5876197010652183,0
IRY,-1.0,0.6101594585057398,0
ISV_0,-1.0,0.6196425156387557,0
ISV_1,-1.0,0.6167686147278408,0
ITE_0,-1.0,0.606727397004538,0
ITE_1,-1.0,0.6119365115934652,0
ITG,-1.0,0.6183062519935583,0
ITH_0,-1.0,0.6212026623239236,0
ITH_1,-1.0,0.6131220134195531,0
ITR_0,-1.0,0.6254910849541991,0
ITR_1,-1.0,0.6163804167549165,0
ITT_0,-1.0,0.596298583288815,0
ITV_0,-1.0,0.6043172518044531,0
ITW_0,0.05913651689439048,-1.0,1
ITW_1,0.03745792949019899,-1.0,1
IWR_0,-1.0,0.6717813004286836,0
IWR_1,-1.0,0.6149285901063817,0
IWS_0,-1.0,0.6175384617980187,0
IWS_1,-1.0,0.6191366944420114,0
IWV_0,-1.0,0.6258270488622304,0
IWV_1,-1.0,0.6229252886926621,0
IWW_0,-1.0,0.527729869351544,0
IWW_1,-1.0,0.6197950176097846,0
JBW_0,0.3133655001347758,-1.0,1
JOZ_0,-1.0,0.6172691871935361,0
JRY_0,-1.0,0.5804432957152477,0
JSN_0,-1.0,0.6192699750852122,0
JSN_1,-1.0,0.6414089143167647,0
JSR_0,-1.0,0.6245915132902975,0
JST_0,-1.0,0.6082820862529371,0
KFI_0,-1.0,0.6155450513560949,0
KFI_1,-1.0,0.6185052163896044,0
LAU_0,-1.0,0.6250991583204837,0
LAU_1,-1.0,0.6313349630110556,0
LAU_2,-1.0,0.6292479612250477,0
LEV_0,-1.0,0.6282153622335603,0
LEV_1,-1.0,0.6273336009666821,0
LEV_2,-1.0,0.6256349494387773,0
LOV_0,-1.0,0.5908918733949706,0
LTA_0,-1.0,0.6220211249698563,0
LTA_1,-1.0,0.6206321913886741,0
LTA_2,-1.0,0.6189570262756283,0
LTF_0,-1.0,0.6314442405911884,0
LTF_1,-1.0,0.6327779464921526,0
LTL_0,-1.0,0.6294715452848267,0
LTL_1,-1.0,0.6253780079372557,0
LTL_2,-1.0,0.630287770097285,0
MAZ_0,-1.0,0.6344450703781064,0
MAZ_1,-1.0,0.6333113626695779,0
MEI_0,-1.0,0.6280222362080267,0
MEI_1,-1.0,0.6323784768467956,0
MEL_0,-1.0,0.6241010781209588,0
MEL_1,-1.0,0.6189959486361183,0
MEL_2,-1.0,0.6223741408288376,0
MER_0,-1.0,0.608210647510286,0
MER_1,-1.0,0.589820950021418,0
MER_2,-1.0,0.6377659326760879,0
MFI_0,-1.0,0.6155841969704456,0
MFI_1,-1.0,0.6174601011211392,0
MFI_2,-1.0,0.6175636258924089,0
MFS_0,-1.0,0.6193198111539475,0
MFS_1,-1.0,0.620655396558355,0
MON_0,0.4182588354811593,-1.0,1
MOR_0,-1.0,0.6279334761824527,0
MOR_1,-1.0,0.623237197161524,0
MOZ_0,-1.0,0.61726899461566,0
MOZ_1,-1.0,0.6166323930596189,0
MRE_0,-1.0,0.6212225560860862,0
MRE_1,-1.0,0.5965712697745887,0
MRT,-1.0,0.6229124444431473,0
MSE_0,-1.0,0.6217986213998667,0
MSE_1,-1.0,0.6265680352993467,0
MTF_0,-1.0,0.6081383971510461,0
MTF_1,-1.0,0.612300777988699,0
MTT_0,-1.0,0.6157159896836659,0
MTT_1,-1.0,0.614041661716609,0
MTW_0,-1.0,0.6255220618897631,0
MTW_1,-1.0,0.6155381305118565,0
MWF,-1.0,0.617906067454038,0
MWW_0,-1.0,0.6101625907654811,0
MWW_1,-1.0,0.6202001518315727,0
NAT_0,-1.0,0.5705798612317081,0
NES_0,-1.0,0.6178215949486607,0
NES_1,-1.0,0.6109531290670636,0
NPT_0,-1.0,0.6307277895889674,0
OBW_0,-1.0,0.6162598422259393,0
OFF_0,-1.0,0.6218762810928335,0
OFF_1,-1.0,0.6220022801382634,0
OFF_2,-1.0,0.6273093853427881,0
OKO_0,-1.0,0.6176391424244823,0
OKO_1,-1.0,0.6204781157834829,0
OSI_0,-1.0,0.5995641648354759,0
OSI_1,-1.0,0.6188641419583358,0
OSO_0,-1.0,0.6126691882296138,0
OSO_1,-1.0,0.6117019350883819,0
OWE_0,-1.0,0.6389612694625717,0
PAU_0,-1.0,0.6095036438741556,0
PAU_1,-1.0,0.6207766042652872,0
PCR_0,-1.0,0.6151967374337616,0
PCR_1,-1.0,0.6219331198183253,0
PHI_0,-1.0,0.6165180095052896,0
PHI_1,-1.0,0.6170484234820012,0
PHI_2,-1.0,0.611046065328207,0
PON_0,-1.0,0.5993621214913096,0
PON_1,-1.0,0.5856740530143703,0
POR,-1.0,0.6345814173644513,0
POS,-1.0,0.6156693692070921,0
PSI,-1.0,0.6144952059718866,0
PUN_0,-1.0,0.6092304872580517,0
PWN,-1.0,0.6033954950138306,0
PWO,-1.0,0.6052521097528916,0
PWW,-1.0,0.6078385210984388,0
RHO_0,-1.0,0.6155166153591469,0
RHO_1,-1.0,0.6119233456376592,0
RON_0,-1.0,0.6064577195579489,0
RRO_0,0.17625099976266767,-1.0,1
