Name,Selectivity
ACO_0,1.0969060691610006
AEI_0,1.9800123933479754
AEI_1,0.8233068926226941
AEL_0,0.6829849996926312
AEL_1,0.6982610820122536
AEL_2,0.6452569405246241
AET_0,0.829015358377006
AET_1,0.8473224378504941
AFI_0,0.8510141163144457
AFI_1,0.8530218155411171
AFN_0,0.6848233259032009
AFO_0,0.6507179686833017
AFO_1,0.6424887641076531
AFR_0,0.8044496898192502
AFR_1,0.7720742876498563
AFS_0,0.770856392205054
AFS_1,0.76083616120398
AFT_0,0.726460969662417
AFT_1,0.7408582491075103
AFV,0.6396777203163393
AFX_0,0.722003331508724
AFX_1,0.689059716304088
AFY_0,0.8520073130750112
AHT_1,0.7344140327902732
APC_1,1.4643339846234458
APC_2,1.5495896090614383
APD_0,0.7194143803443221
ASV_0,0.588948402771964
ATN_0,0.5006360618204143
ATN_1,0.5212285318523353
ATO_0,0.607502559829156
ATO_1,0.6202260211436535
ATS_0,0.7134627258845876
ATS_1,0.7075581198117368
ATT_0,0.5685110415327772
ATT_1,0.6593857247868344
ATV_0,0.689691979701541
AVE,0.5867559773324507
AVL,0.5937076006258545
AWO_0,0.6081216339207961
AWO_1,0.6044277813738438
AWW_0,0.7447378445325912
BEA_0,0.7350107794097602
BEA_1,0.745188638363189
BEA_B_1,0.7635307050288975
BEC_0,0.7311755060787374
BEC_2,0.741067933431864
BOF_0,0.5903282283449436
BOG_0,0.7621376983584828
BOG_1,0.7619800314291728
BOZ_0,0.7578726599322352
BPH_0,0.7368759589626079
BRE_1,0.49592589739701604
BSV_0,0.5790969823721079
CAN_0,0.8392273873764375
CAN_1,0.8384052013650898
CDO_0,0.48615444236592625
CDO_1,2.762599104965747
CFI_0,0.8563130675855037
CFI_1,0.8687709033111488
CGF_0,0.485685947448122
CGS_0,0.553166947308116
CHA_0,0.7355937839169007
CLO_0,0.837418931473531
CON_0,0.7379422630377238
CON_1,0.712943999970186
CON_2,0.7496905777265215
CSV,0.7977929133698353
CZP_0,1.3975339065922245
DAC_0,0.6180816361676538
DDR_0,0.6516121016589784
DDR_1,0.6108616710974462
DFO_0,0.7702639800398193
DFO_1,0.758861833883134
DFT_0,0.6617845051207606
DON_0,0.8433627816780077
DON_1,0.8469056551982775
EAB_0,0.5950961908562619
EAB_1,0.5405851758000622
EAB_2,0.5766064330452388
EDI_0,0.503548674654569
EDI_2,0.499426974973915
EMT_0,0.8698801562725571
EMT_1,0.8544180074561726
EMT_2,0.8427429247062116
EON_0,0.6552939200841384
EON_1,0.6492313947581442
EPI_0,0.61397422761081
EPI_1,0.5127653273952754
ERI_0,0.6471761815365472
ERI_1,0.6665588067752788
ERI_2,0.6710411182120725
ESV_0,0.6318642055702315
ESV_1,0.6752334070648476
ETL,0.5651060986866236
ETR_0,0.7995040865906362
ETR_1,0.7837604248566441
EUO_0,0.7576280126467133
EUO_1,0.6832787618985267
EWS,0.6507730197171515
EZT_0,0.674943931545413
EZT_1,0.6827816365198826
FAU_0,0.8634775713354682
FAU_1,0.8472932153771197
FAU_2,0.8701416047496482
FAU_3,0.8258027431235441
FAU_4,0.8726938769609605
FAU_5,0.8156275588909925
FAU_6,0.7858089049229514
FER_0,0.626280955734522
FER_1,0.6108610390041531
FER_2,0.6216484182491503
GIS_0,0.6520272645185606
GIS_1,0.6983492531896314
GIS_2,0.6664381339750098
GIS_3,0.6285907221162315
GIS_4,0.6866268034905411
GIS_5,0.6480149645205626
GIS_6,0.6497745782341616
GME_0,0.7120749017969265
GME_1,0.7333482809915493
GON_0,0.7940362185833241
GON_1,0.7730969665367061
GOO_0,0.7770808088457364
HEU_0,0.5662391751284287
HEU_1,0.5758526771540883
HEU_2,0.5758356977521352
IFO_0,0.8170476543872249
IFO_1,0.8255085427810981
IFR_0,0.7117522276957211
IFR_1,0.7294580427717643
IFT,0.7760578903105784
IFU,0.7738954017385765
IFW,0.7847944814249779
IFY,0.7527477361637249
IHW_0,0.6649465696475241
IHW_1,0.6616080458826645
IMF_0,0.7034268501322357
IMF_1,0.6981970194134248
IRN,0.816126906166045
IRR_0,0.7692127797720868
IRR_1,0.7444231236494047
IRY,0.7634441866868841
ISV_0,0.738552513164518
ISV_1,0.7588298324093585
ITE_0,0.8031908907239679
ITE_1,0.8081650917936523
ITG,0.7445743413089021
ITH_0,0.7300176473243127
ITH_1,0.7486917117958696
ITR_0,0.7292637216194792
ITR_1,0.7524681365209378
ITT_0,0.7721465861044193
ITV_0,0.7199552251810938
ITW_0,1.0458950858246183
ITW_1,1.0244459541300928
IWR_0,0.594264586800769
IWR_1,0.7587971489350087
IWS_0,0.7860413601094326
IWS_1,0.7769838338614211
IWV_0,0.8634508886981263
IWV_1,0.8288217352723738
IWW_0,0.8986033910640866
IWW_1,0.7053224770381878
JBW_0,1.4489716587519423
JOZ_0,0.6067127297241652
JRY_0,0.8491622811757209
JSN_0,0.6657871062499516
JSN_1,0.6658997338492632
JSR_0,0.794449830818892
JST_0,0.7671397013270694
KFI_0,0.7502361875487431
KFI_1,0.727149394913296
LAU_0,0.6156668550722676
LAU_1,0.6069467829215348
LAU_2,0.606549526681236
LEV_0,0.654892420153748
LEV_1,0.6564255052927505
LEV_2,0.6350608054431054
LOV_0,0.8259291310957876
LTA_0,0.8013002541069544
LTA_1,0.7669678453617602
LTA_2,0.7640785640987515
LTF_0,0.5833326359307697
LTF_1,0.5808244711758571
LTL_0,0.770669578715747
LTL_1,0.7583872320151305
LTL_2,0.7563544667620511
MAZ_0,0.6181264897244442
MAZ_1,0.6276198174453019
