NAME,WC_H2S,WC_CO2
LOV_0,0.341386622,0.172847403
LTA_0,0.466199347,0.520544281
LTA_1,0.483632493,0.566918242
LTA_2,0.472208658,0.558061331
LTF_0,0.123746835,0.176389878
LTF_1,0.140477763,0.184897407
LTL_0,0.270199036,0.287449103
LTL_1,0.267428045,0.281675965
LTL_2,0.263111194,0.263249888
MAZ_0,0.172145264,0.192565067
MAZ_1,0.171287095,0.211034485
MEI_0,0.418415334,0.49260031
MEI_1,0.43711183,0.516161973
MEL_0,0.249312585,0.213451516
MEL_1,0.216066477,0.176076373
MEL_2,0.222953501,0.180877207
MER_0,0.268528929,0.187865362
MER_1,0.259041392,0.154271074
MER_2,0.087503997,0.112104847
MFI_0,0.237733081,0.179566838
MFI_1,0.231215907,0.158881205
MFI_2,0.236864799,0.16829795
MFS_0,0.204348279,0.164606667
MFS_1,0.19958645,0.145391769
MON_0,0.13013615,0.059808538
MOR_0,0.300877138,0.191519083
MOR_1,0.286732517,0.171978398
MOZ_0,0.206012606,0.225165863
MOZ_1,0.234114515,0.24542193
MRE_0,0.092833965,0.066844009
MRE_1,0.078750022,0.076576427
MRT,0.152495984,0.151139865
MSE_0,0.251519719,0.297543219
MSE_1,0.25234631,0.296976678
MTF_0,0.095270172,0.094482138
MTF_1,0.084861818,0.064893033
MTT_0,0.120792846,0.136299606
MTT_1,0.096604226,0.104276701
MTW_0,0.166989232,0.151932677
MTW_1,0.114389118,0.127396634
MWF,0.382060373,0.277078258
MWW_0,0.342498422,0.345020598
MWW_1,0.322565011,0.30635836
NAT_0,0.413689078,0.355337737
NES_0,0.246024807,0.270939756
NES_1,0.213962424,0.219292353
NPT_0,0.377802467,0.445666642
OBW_0,0.51497327,0.548994666
OFF_0,0.189941438,0.268604055
OFF_1,0.218687055,0.292251382
OFF_2,0.212186416,0.298913832
OKO_0,0.239205005,0.228356958
OKO_1,0.218841462,0.231102284
OSI_0,0.148053682,0.140432013
OSI_1,0.123526514,0.131228366
OSO_0,0.439821802,0.433866629
OSO_1,0.422349248,0.417590309
OWE_0,0.146038285,0.195181472
PAU_0,0.388375408,0.273177655
PAU_1,0.323330397,0.264162544
PCR_0,0.177176967,0.101993259
PCR_1,0.189543849,0.096497123
PHI_0,0.275728014,0.251118496
PHI_1,0.331679126,0.185159746
PHI_2,0.199039982,0.221183347
PON_0,0.282803575,0.167093768
PON_1,0.290248825,0.221555119
POR,0.144269937,0.170639134
POS,0.320885915,0.389344409
PSI,0.0723217,0.046583848
PUN_0,0.365608953,0.435707214
PWN,0.428146657,0.284937296
PWO,0.37237722,0.28323396
PWW,0.325748295,0.23923791
RHO_0,0.62702259,0.47198003
RHO_1,0.414474029,0.362840851
RON_0,0.188176314,0.112084649
RRO_0,0.183993777,0.206603212
RSN_0,0.255107394,0.156625983
RTE_0,0.161156653,0.168206932
RTE_1,0.166754498,0.166767982
RTH_0,0.353981772,0.288564433
RTH_1,0.333691995,0.294011063
RWY_0,0.931637964,1.134716326
SAF_0,0.160736057,0.150982509
SAF_1,0.153360353,0.139922205
SAO_0,0.44732779,0.545041018
SAO_1,0.437199825,0.540019964
SAS_0,0.359689897,0.363226594
SAS_1,0.330698516,0.371179828
SAT_0,0.167203328,0.211564861
SAT_1,0.168289764,0.203140484
SAV_0,0.357709174,0.378646189
SBE_0,0.507423391,0.518295159
SBS_0,0.490393826,0.592284075
SBT_0,0.493221883,0.581197223
SEW_0,0.312317883,0.274914631
SEW_1,0.301487142,0.266834656
SFE_0,0.233470441,0.240510813
SFE_1,0.207495036,0.179309333
SFF_0,0.255298821,0.22857422
SFF_1,0.324143057,0.275517806
SFG_0,0.198739761,0.190269431
SFG_1,0.176829857,0.174800676
SFH_0,0.246132014,0.290934512
SFH_1,0.214178216,0.255574042
SFN_0,0.236048527,0.286836537
SFN_1,0.232849896,0.254835785
SFO_0,0.394570572,0.398629105
SFS_0,0.308995381,0.296311484
SFS_1,0.290317922,0.262650119
SFW_0,0.347029521,0.36900824
SFW_1,0.33385359,0.364123129
SIV_0,0.360136319,0.279208367
SOF_0,0.420182732,0.383567515
SOR,0.203739325,0.240335038
SOS_0,0.163115706,0.204382951
SOV,0.336970085,0.397245632
SSF_0,0.25966086,0.290982589
SSF_1,0.231498272,0.232926306
SSY_0,0.220105733,0.235723669
SSY_1,0.188311784,0.184256635
STF_0,0.31701982,0.278653591
STF_1,0.311818794,0.265090473
STI_0,0.197332673,0.23272276
STI_1,0.211248305,0.244438551
STI_2,0.219225136,0.238158795
STI_3,0.220571624,0.255907774
STO_0,0.165290437,0.146930818
STO_1,0.165611786,0.152377034
STT_0,0.261572558,0.250737089
STT_1,0.245511503,0.240980832
STW_0,0.425870727,0.303098794
SVR_0,0.243065247,0.182547207
SVR_1,0.23766072,0.187161978
SWY,0.19102017,0.272654433
SZR_0,0.175658845,0.12084004
SZR_1,0.183844682,0.115208486
TER_0,0.290628084,0.247123243
TER_1,0.278107483,0.24093749
THO_0,0.338113791,0.298580452
TON_0,0.185569687,0.116829472
TON_1,0.156808982,0.1064515
TSC_0,0.48811621,0.533226435
TSC_1,0.488809681,0.551490702
TUN_0,0.240771707,0.216388652
TUN_1,0.237498312,0.215541317
UEI_0,0.336905073,0.096961556
UFI_0,0.351444827,0.395748893
