Name,Selectivity
ACO_0,0.46926048575643575
AEI_0,2.0099818894707933
AEI_1,0.7588726118962027
AEL_0,0.6310751929169863
AEL_1,0.512053394908251
AEL_2,0.5207535957689226
AET_0,0.8618021296473188
AET_1,0.8985430290256138
AFI_0,0.9072908171976914
AFI_1,0.8937356750815781
AFN_0,0.6233468598127734
AFO_0,0.5921022383583819
AFO_1,0.4516262160245571
AFR_0,0.8007207191220375
AFR_1,0.6740539672719497
AFS_0,0.7555076919914309
AFS_1,0.741701136491341
AFT_0,0.8019648304351955
AFT_1,0.8171433764300842
AFV,0.88044853014462
AFX_0,0.8182808504329444
AFX_1,0.7634458411124053
AFY_0,0.6794058992144565
AHT_1,0.45180196642715115
APC_1,0.7623784986859565
APC_2,0.6094473827885158
APD_0,0.03316607076685413
ASV_0,0.41485590364156955
ATN_0,0.49869354662229615
ATN_1,0.4299216981173165
ATO_0,0.5844930264536016
ATO_1,0.5432193394188403
ATS_0,0.8521017313631948
ATS_1,0.8312990201823736
ATT_0,0.46890565258561717
ATT_1,0.5047981298327331
ATV_0,0.028732936275918934
AVE,0.716796572136845
AVL,0.76120179068233
AWO_0,0.0802100302476658
AWO_1,0.2375848087432625
AWW_0,0.9645545030429143
BEA_0,0.9102179891867156
BEA_1,0.907993271106546
BEA_B_1,0.9121026730697814
BEC_0,0.9540354246001321
BEC_2,0.9595074908613714
BOF_0,0.4716163806083005
BOG_0,0.7841420643177579
BOG_1,0.7722670839078756
BOZ_0,0.7156678211586552
BPH_0,0.8631777656114763
BRE_1,0.4466169726571246
BSV_0,0.31861539203038236
CAN_0,0.703533613339115
CAN_1,0.5890367754723913
CDO_0,0.5142180134762091
CDO_1,2.266157076907309
CFI_0,0.8935223916387243
CFI_1,0.7854163199001811
CGF_0,0.3587714843655197
CGS_0,0.7197043624678419
CHA_0,0.8069870032728077
CLO_0,0.8618294193674416
CON_0,0.8507077290294084
CON_1,0.8248072757447449
CON_2,0.8284069900860386
CSV,0.826725135376842
CZP_0,0.5613513401677237
DAC_0,0.258099426725298
DDR_0,0.13434900698888336
DDR_1,0.15015900096680126
DFO_0,0.8524097897784969
DFO_1,0.8742985043422675
DFT_0,0.05211043909778707
DON_0,0.8864449270358472
DON_1,0.8932213055243692
EAB_0,0.755660969599366
EAB_1,0.713757637220487
EAB_2,0.7104112565094239
EDI_0,0.3461024086455607
EDI_2,0.5173884502268415
EMT_0,1.0311637081706344
EMT_1,1.0026218226641328
EMT_2,0.9910013303764378
EON_0,0.5399184248942548
EON_1,0.599934401238737
EPI_0,0.3701524234832288
EPI_1,0.3011114219612707
ERI_0,0.8457085179814802
ERI_1,0.853290901642102
ERI_2,0.8069162960534302
ESV_0,0.6589766976196747
ESV_1,0.6079705384990031
ETL,0.7022390406541
ETR_0,0.8036694335959589
ETR_1,0.8203083492494145
EUO_0,0.8251376231926799
EUO_1,0.8332860555164333
EWS,0.7343071153035848
EZT_0,0.7262619429422574
EZT_1,0.7332159042088594
FAU_0,1.042838097668039
FAU_1,0.9985926186552024
FAU_2,1.0251673148994647
FAU_3,0.9851222070134481
FAU_4,1.0326684950396583
FAU_5,0.9723458348591056
FAU_6,0.9624234284253843
FER_0,0.5782458174903755
FER_1,0.5540242242490867
FER_2,0.5110358150001051
GIS_0,0.4445250211024168
GIS_1,0.368143555287576
GIS_2,0.38097719006647834
GIS_3,0.5815411395486545
GIS_4,0.4567704515152556
GIS_5,0.38643664036042275
GIS_6,0.4451949178079269
GME_0,0.7961456517572014
GME_1,0.8276105302225887
GON_0,0.6944316197923368
GON_1,0.7440256043908315
GOO_0,0.5259107557295752
HEU_0,0.008271470994143488
HEU_1,0.4648751425168149
HEU_2,0.4316613176246638
IFO_0,0.9363035613437332
IFO_1,0.894766260910574
IFR_0,0.894180879800659
IFR_1,0.8772389852120192
IFT,0.9628812411020342
IFU,0.944123275719932
IFW,0.8124133958446335
IFY,0.6778481915021034
IHW_0,0.8520545582396281
IHW_1,0.8240511462869666
IMF_0,0.5725324529208445
IMF_1,0.5686742900250531
IRN,0.7340637793394568
IRR_0,0.9537426972637602
IRR_1,0.9214521849975559
IRY,0.9716188613938915
ISV_0,0.9384930161908146
ISV_1,0.9581729187031792
ITE_0,0.7010976497678748
ITE_1,0.7077342746324226
ITG,0.9152438351939317
ITH_0,0.7322069390884428
ITH_1,0.7678454247718179
ITR_0,0.7497566929454711
ITR_1,0.788695770902969
ITT_0,0.8515704082944998
ITV_0,0.9265896869329828
ITW_0,0.7268292730634983
ITW_1,1.2508139365616888
IWR_0,0.31553409256909987
IWR_1,0.8555307968730951
IWS_0,0.9556089661691086
IWS_1,0.9596186589100356
IWV_0,0.9169635956265375
IWV_1,0.8694683632370489
IWW_0,1.0091104130063098
IWW_1,0.7997242059210359
JBW_0,0.933349265390502
JOZ_0,0.26025936737832844
JRY_0,0.6516051772236101
JSN_0,0.4611657713011022
JSN_1,0.3676313003896724
JSR_0,0.7943254901591293
JST_0,0.665766461754004
KFI_0,0.8992345614787706
KFI_1,0.8772317957932058
LAU_0,0.5676239264271858
LAU_1,0.6146974432317923
LAU_2,0.5780990540544334
LEV_0,0.8676557590048819
LEV_1,0.8742004529884505
LEV_2,0.8981839224703754
LOV_0,0.27008601077006555
LTA_0,0.9340870448100594
LTA_1,0.9182953039042785
LTA_2,0.9121891531769282
LTF_0,0.7641700572552551
LTF_1,0.7913406734638658
LTL_0,0.8399463083835023
LTL_1,0.8208815382443224
LTL_2,0.8209835919936976
MAZ_0,0.7704577969954
MAZ_1,0.811210356986478
