NAME,H2S_Heat,CO2_Heat,CH4_Heat
GIS_6,-16.93994883,-20.35959471,-18.87213998
GME_0,-15.03710369,-17.45997508,-16.84070037
GME_1,-14.54157511,-17.57755942,-16.077036
GON_0,-15.62681473,-19.0069928,-17.62240379
GON_1,-15.69926906,-19.09764231,-17.74147771
GOO_0,-18.23277189,-23.05925571,-19.66300854
HEU_0,-18.12512881,-21.75064616,-20.46716926
HEU_1,-17.45658801,-20.99247968,-19.69604202
HEU_2,-17.73459155,-21.19832623,-20.00666741
IFO_0,-11.88841911,-14.21997872,-13.28362744
IFO_1,-14.45948451,-17.71293658,-16.03719273
IFR_0,-14.87582824,-17.89392043,-16.77923294
IFR_1,-14.92244819,-17.92026476,-16.81618115
IFT,-9.77469011,-11.69964959,-10.85922277
IFU,-10.12412725,-11.93342995,-11.28688093
IFW,-13.3136702,-15.88495286,-14.92314967
IFY,-16.64067484,-20.03578651,-18.40288345
IHW_0,-16.18689443,-19.99802663,-18.2589521
IHW_1,-16.47866211,-20.32524295,-18.5856023
IMF_0,-16.26142476,-19.5753568,-18.43988489
IMF_1,-16.53629131,-20.00864416,-18.73402441
IRN,-15.3709409,-18.10436208,-17.26360724
IRR_0,-10.34795556,-12.57779941,-11.8584401
IRR_1,-9.56998594,-11.40968538,-10.88395222
IRY,-9.02535741,-10.68322808,-10.03168978
ISV_0,-12.88686191,-15.73471515,-14.56293965
ISV_1,-13.18655658,-16.11603922,-14.90546246
ITE_0,-14.38032762,-17.21150824,-16.13334467
ITE_1,-14.92118874,-17.9154146,-16.74128799
ITG,-14.3767876,-17.70187901,-16.29990827
ITH_0,-15.83975532,-19.45533853,-17.95272653
ITH_1,-16.72630402,-20.68246958,-18.84661752
ITR_0,-15.72740441,-19.33916301,-17.81920126
ITR_1,-16.12081624,-19.93518318,-18.22505109
ITT_0,-12.98250852,-15.37991786,-15.22953319
ITV_0,-9.76609125,-11.64352504,-10.99852995
ITW_0,-17.66744466,-22.4557683,-19.06391485
ITW_1,-17.10855193,-22.96660154,-18.41251701
IWR_0,-13.84044046,-16.84793671,-15.61662359
IWR_1,-13.81651918,-16.80811888,-15.57387203
IWS_0,-12.36555891,-15.0512498,-13.98133884
IWS_1,-11.78915967,-14.33282037,-13.27789855
IWV_0,-11.9271144,-13.87770185,-13.27884409
IWV_1,-12.19903395,-14.48149923,-13.54979957
IWW_0,-14.63354077,-17.95261998,-16.56171427
IWW_1,-14.245769,-17.44825078,-16.11961585
JBW_0,-17.57840803,-23.53484938,-17.68142005
JOZ_0,-17.52435359,-21.04527164,-19.44851302
JRY_0,-18.51322768,-24.45389276,-19.91068465
JSN_0,-19.11735567,-23.56597326,-21.44949952
JSN_1,-23.06912385,-28.65740416,-25.67714559
JSR_0,-11.69241575,-14.00155071,-13.06463214
JST_0,-15.37006933,-19.07128198,-17.18092661
KFI_0,-14.2197628,-17.51020654,-15.96615243
KFI_1,-14.03980994,-17.20360937,-15.7764987
LAU_0,-17.38670688,-21.19561741,-19.74474524
LAU_1,-15.79166558,-19.28448661,-17.89591458
LAU_2,-16.57711798,-20.18932408,-18.79149866
LEV_0,-16.17819932,-19.874191,-18.30419526
LEV_1,-15.30714612,-18.80435698,-17.30200818
LEV_2,-16.19993082,-19.94485132,-18.34054482
LOV_0,-20.00690716,-21.39344174,-22.60260648
LTA_0,-17.36236882,-19.05504928,-20.59532282
LTA_1,-13.8514228,-16.31497028,-16.2069432
LTA_2,-14.07408169,-16.74497337,-16.42656847
LTF_0,-17.75875392,-21.48642659,-20.41199483
LTF_1,-16.95472708,-20.65601828,-19.45497864
LTL_0,-13.07680613,-15.36752164,-14.59976297
LTL_1,-12.67603664,-14.86193032,-14.14013229
LTL_2,-12.80968305,-15.01989229,-14.31540145
MAZ_0,-17.7750893,-21.53849671,-20.52495003
MAZ_1,-16.63144275,-20.28292112,-19.16762999
MEI_0,-13.49197146,-15.66032457,-15.12559257
MEI_1,-13.1707838,-15.52185021,-14.69286841
MEL_0,-16.01478122,-19.19323835,-18.14274617
MEL_1,-16.91503061,-20.38584787,-19.17040734
MEL_2,-16.72465187,-20.10516424,-18.95597086
MER_0,-17.36819874,-19.641123,-19.2473092
MER_1,-16.05028044,-18.5776574,-17.42003097
MER_2,-16.25171665,-20.06476044,-18.5804825
MFI_0,-17.05889017,-20.86717987,-19.09808877
MFI_1,-17.2727813,-20.87525102,-19.57126377
MFI_2,-16.99551552,-20.48188765,-19.21303528
MFS_0,-15.65011432,-18.83888384,-17.66374881
MFS_1,-16.38218179,-19.78464498,-18.4956965
MON_0,-16.0042037,-21.32341319,-15.73017548
MOR_0,-18.20061668,-17.24745125,-20.48144417
MOR_1,-18.2573258,-17.13168876,-20.5532449
MOZ_0,-15.51184611,-18.88776088,-17.664858
MOZ_1,-15.02594874,-18.26696287,-17.0495328
MRE_0,-17.29172342,-21.18867288,-19.67061495
MRE_1,-18.02783821,-22.07106191,-20.52436644
MRT,-17.64807473,-21.70851088,-19.97992393
MSE_0,-14.04198082,-17.20656081,-15.8937659
MSE_1,-14.09221835,-17.16807708,-15.94854264
MTF_0,-17.86379444,-21.97308665,-20.14271642
MTF_1,-18.3047104,-22.51121206,-20.67876649
MTT_0,-16.31676485,-20.13748141,-18.44369005
MTT_1,-18.04745325,-22.25681079,-20.4468241
MTW_0,-15.07763803,-18.31818613,-16.95464355
MTW_1,-15.88639194,-19.45417731,-18.00237252
MWF,-16.82444971,-20.02248343,-18.65130988
MWW_0,-15.54483224,-18.90146565,-17.60292994
MWW_1,-16.51099881,-20.01565772,-18.70787812
NAT_0,-17.00192639,-22.73519908,-17.9941075
NES_0,-14.2068905,-17.21727369,-15.94324065
NES_1,-15.14312418,-18.5813522,-17.04951195
NPT_0,-14.27576516,-16.83251862,-16.31737321
OBW_0,-13.45074853,-15.5013614,-15.42195616
OFF_0,-16.70487591,-20.10388012,-19.1923245
OFF_1,-15.85440585,-19.21700952,-18.20177824
OFF_2,-15.69168235,-18.9859367,-18.00276351
OKO_0,-14.88997539,-18.1064684,-16.87802402
OKO_1,-14.94090983,-18.19642636,-16.95328031
OSI_0,-14.12431774,-17.10071938,-15.87831509
OSI_1,-19.05853749,-23.82845717,-21.37790739
OSO_0,-12.72466987,-15.38188883,-14.20027474
OSO_1,-12.7373139,-15.40810919,-14.22105292
OWE_0,-17.99730096,-21.98103527,-20.38267808
PAU_0,-16.55334169,-19.50681196,-18.2323159
PAU_1,-15.92191448,-18.89526297,-17.69104492
PCR_0,-18.98028234,-22.96907419,-21.51060157
PCR_1,-18.98775486,-23.06045368,-21.50462538
PHI_0,-17.13919756,-21.13104816,-19.26047515
PHI_1,-16.91303242,-19.49632343,-18.79929
PHI_2,-16.66257471,-20.54393646,-18.84127308
PON_0,-18.10821629,-22.82707572,-20.10354186
PON_1,-24.08962086,-31.81911011,-26.19012445
POR,-18.06779823,-22.2484168,-20.46543443
POS,-14.16975562,-17.25904032,-16.15908823
PSI,-17.76780296,-21.73009634,-20.16738478
PUN_0,-15.34203293,-18.9933806,-17.23243205
PWN,-16.20507842,-18.57295424,-17.75913708
PWO,-16.62045693,-20.84237183,-18.47209445
PWW,-16.72262801,-20.74030366,-18.70088255
RHO_0,-15.93397549,-15.61987895,-17.24124194
RHO_1,-12.68143006,-14.21372951,-13.62036215
RON_0,-15.70862441,-18.98862373,-17.6222838
RRO_0,-15.4943299,-21.46641575,-15.919228
RSN_0,-19.25471598,-21.13166067,-21.93959654
RTE_0,-16.58881652,-20.41343114,-18.70802301
RTE_1,-16.9306658,-20.83237126,-19.10680517
RTH_0,-14.5571598,-17.57963425,-16.30572288
RTH_1,-15.16245912,-18.30568351,-16.99027006
RWY_0,-8.59075412,-10.05100977,-9.49230852
SAF_0,-13.9940356,-16.80762162,-15.77372437
SAF_1,-18.51045183,-22.6339289,-20.70206833
SAO_0,-11.78980235,-14.25559827,-13.22496746
SAO_1,-14.86126971,-18.38428076,-16.55786895
SAS_0,-13.5777835,-16.5256902,-15.20487975
SAS_1,-17.22996227,-21.50756644,-19.16382858
SAT_0,-15.63121299,-18.99960739,-17.7152943
SAT_1,-20.52599712,-25.42729528,-23.09622674
SAV_0,-13.91851452,-16.88479566,-15.60286493
SBE_0,-14.23898293,-13.84130569,-16.52448473
SBS_0,-11.0791816,-13.18232962,-12.39849622
SBT_0,-11.06562982,-13.17964644,-12.38601852
SEW_0,-15.39291986,-18.00904417,-17.40151444
SEW_1,-15.7969832,-18.54602249,-17.84438739
SFE_0,-13.33780934,-15.96411064,-14.92851206
SFE_1,-14.74827778,-17.78412452,-16.57198653
SFF_0,-14.88766543,-18.08013179,-16.75052624
SFF_1,-14.88200279,-17.8987977,-16.6885895
SFG_0,-15.1498053,-18.26387361,-17.13252472
SFG_1,-15.99903981,-19.37989956,-18.10867266
SFH_0,-12.04761933,-14.38193356,-13.4547082
SFH_1,-12.95590556,-15.50127362,-14.52202295
SFN_0,-12.10802755,-14.45320778,-13.51805214
SFN_1,-12.81914437,-15.34061052,-14.37118286
SFO_0,-13.29328979,-15.41694784,-14.71931375
SFS_0,-15.01556688,-17.78048544,-16.97703334
SFS_1,-15.87883036,-18.93739868,-18.0838889
SFW_0,-14.66458915,-17.26184364,-16.40034444
SFW_1,-14.43506032,-16.90716765,-16.07497914
SIV_0,-17.34170545,-20.99014066,-19.3787381
SOF_0,-16.79571607,-20.54234289,-18.40415411
SOR,-13.92022196,-16.44867976,-15.68910907
SOS_0,-14.85268132,-18.55441501,-16.49329537
SOV,-13.72080255,-16.74712352,-15.6611194
SSF_0,-12.72203058,-15.2758795,-14.29259514
SSF_1,-13.72878381,-16.55861546,-15.48686895
SSY_0,-13.24776424,-15.91244161,-14.81968076
SSY_1,-14.58556631,-17.62483099,-16.41754193
STF_0,-14.72045353,-17.59650174,-16.48576138
STF_1,-14.85950783,-17.88430025,-16.68073791
STI_0,-15.93547327,-19.70904615,-18.01163938
STI_1,-15.55467136,-19.20248702,-17.58548684
STI_2,-15.52895849,-19.15914534,-17.54283086
STI_3,-15.52619339,-19.1600941,-17.54504038
STO_0,-14.53209476,-17.54971888,-16.3897097
STO_1,-14.52674166,-17.54854926,-16.39098397
STT_0,-15.50357949,-18.6560089,-17.44501254
STT_1,-15.72801264,-19.02915751,-17.6944275
STW_0,-16.50422705,-20.33402026,-18.38437428
SVR_0,-16.61016878,-20.25809537,-18.78719555
SVR_1,-16.61260706,-20.25996592,-18.77339384
SWY,-16.03491007,-19.40174654,-18.32782809
SZR_0,-16.61559632,-20.41729341,-18.730103
SZR_1,-16.61559632,-20.41729341,-18.730103
TER_0,-16.16589202,-19.57572903,-18.169176
TER_1,-16.19734538,-19.63894255,-18.17975784
THO_0,-17.72429889,-21.7727322,-19.81909439
TON_0,-16.62842044,-20.27411439,-18.79229037
TON_1,-18.25320782,-22.48172152,-20.57115444
TSC_0,-16.67751391,-15.49122026,-20.51937817
TSC_1,-10.83425733,-11.06884132,-12.42687119
TUN_0,-16.08787275,-19.45259598,-18.22508272
TUN_1,-16.13377181,-19.54836155,-18.34415101
UEI_0,-18.81205793,-20.50632471,-20.88885668
UFI_0,-18.14821289,-21.09966511,-21.20796497
UFI_1,-18.23750337,-21.04596387,-21.08590269
UOS_0,-17.1145194,-20.89750009,-19.2733906
UOV,-14.14416545,-17.21955386,-15.99439218
USI_0,-13.8700772,-16.72671841,-15.41975985
UTL_0,-12.74936464,-14.98575716,-14.47425659
UWY_0,-15.77971272,-19.10706766,-17.81693649
VET_0,-14.99274771,-18.41138603,-16.99120683
VET_1,-15.25206253,-18.69351228,-17.24154364
VFI_0,-9.36634659,-10.84559131,-10.33954143
VFI_1,-11.98454857,-14.63513271,-13.16955908
VNI_0,-18.09058605,-21.41680973,-19.96289633
VSV_0,-15.41115981,-20.79658332,-15.73631051
WEI_0,-14.04566737,-18.76561993,-13.44465617
WEN_0,-16.92261688,-20.73503642,-19.07078548
YFI,-16.6466552,-16.52567382,-18.50489161
YUG_0,-17.81733693,-23.55530292,-18.8428131
ZON_0,-19.17417983,-23.32741637,-21.76374613
ZON_1,-22.88379072,-28.67529498,-25.73794594
