NAME,H2S/CH4 selectivity
MOR-1,2.6914542761306097
MOZ-0,1.502473427534031
MOZ-1,5.160684467757507
MRE-0,0.7616020755646827
MRE-1,0.9671964251810357
MRT,5.564449093866727
MSE-0,1.0520563581671538
MSE-1,1.0766989652390104
MSO-0,1.2356935578139538
MTF-0,1.4512368805861584
MTF-1,2.149323093291092
MTN-0,0.4584217884587255
MTN-1,0.41333238521930143
MTT-0,1.0413566201678617
MTT-1,0.7645347586818525
MTW-0,1.7608914762389605
MTW-1,0.9526704541772317
MWF,2.90492319322054
MWW-0,1.3871943394407231
MWW-1,2.018263521120622
NAB-0,6.271078296817562
NAT-0,1.2514208344211575
NES-0,1.5263126272159928
NES-1,1.3137486718495468
NON-0,0.7698353898312876
NON-1,0.9040113517462389
NPO-0,3.072785197980515
NPT-0,0.8029194538206331
NSI-0,11.509542380256722
OBW-0,0.8263027943777758
OFF-0,0.861657828272698
OFF-1,2.279906299557394
OFF-2,1.259080420412458
OKO-0,1.0203102912294744
OSI-0,1.3154162358313968
OSO-0,1.3551535787070927
OSO-1,1.7416102689617672
OWE-0,1.1211790500828718
PAU-0,2.8322201151056787
PAU-1,3.7229510406693804
PCR-0,0.7562570151669766
PCR-1,0.9729110350045661
PHI-0,4.006823839018087
PHI-1,7.098947907704483
PHI-2,5.112978869862216
PON-0,0.9258872989416183
POR,1.4875274796591207
POS,1.0986811473136497
PSI,0.6644329042938704
PUN-0,0.9132921557547303
PWO,1.675462932409715
PWW,1.4957971861050448
RHO-0,1.7183060289334444
RHO-1,2.6842328613642517
RRO-0,6.692363233657318
RRO-1,6.171106949179158
RSN-0,2.2789887285025343
RTE-0,1.3728952626876916
RTE-1,1.289333573352773
RTH-0,1.7177712226008826
RTH-1,2.4561811801622095
RUT-0,0.5716877774298464
RUT-1,0.528905678150398
RWR-0,3.184717724017769
RWR-1,10.74590644839263
RWY-0,0.951789982527203
SAF-0,0.918706806002486
SAO-0,1.1849034807655663
SAS-0,1.1776431906790585
SAT-0,0.9578550446660168
SAV-0,1.6653449778887897
SBE-0,1.1588052014373191
SBN-0,0.9609146996278874
SBS-0,1.147625558603997
SBT-0,1.1253283473896112
SEW-0,1.4393846327484008
SEW-1,3.4049527524724903
SFE-0,1.5378470791974277
SFE-1,1.1430532512951574
SFF-0,1.5233433654182935
SFF-1,1.8376937017872754
SFG-0,1.0930582553671764
SFG-1,1.2843056000132713
SFH-0,1.3601952273316924
SFH-1,1.0416251606796976
SFN-0,1.4214285934141593
SFN-1,1.1486917715645006
SFO-0,1.612751717592237
SFS-0,1.2203489410298396
SFS-1,1.636106559356313
SFW-0,1.1212586827061515
SFW-1,1.5016304799514002
SGT-0,1.0582413378081394
SGT-1,1.148561746531728
SIV-0,2.362409306144857
SOD-0,0.4648277169611816
SOD-1,0.5285660635203542
SOD-2,0.6487150644999696
SOF-0,1.8361546692313775
SOR,0.9776099408987541
SOS-0,1.2549675035542565
SOV,1.0428132353119313
SSF-0,0.9667242942894966
SSF-1,0.9728705166739015
SSY-0,1.5578432296157287
SSY-1,1.2187574825585858
STF-0,1.6781961810042083
STF-1,1.5507614297279961
STI-0,0.9733428123000308
STI-1,1.0713926031383827
STI-2,1.1592150887473258
STI-3,1.0970939426368684
STO-0,0.8180548918936936
STO-1,0.8358499623434279
STT-0,1.4823631406592959
STT-1,2.417346110862025
STW-0,2.5695854627505708
SVV-0,0.6119831432433287
SWY,0.9813531186578545
SZR-0,1.1324462021406205
SZR-1,1.144266968866329
TER-0,1.1649378070453973
TER-1,1.6251451479395902
THO-0,0.6607263452694477
THO-1,2.019662694974676
TOL-0,1.2468988158572327
TOL-1,2.0677009084143503
TON-0,1.25002190663771
TON-1,1.0754966494662184
TSC-0,1.148989004547399
TSC-1,1.031041445242092
TUN-0,1.0626947438126328
TUN-1,1.4160065180033328
UEI-0,3.4254421294655493
UFI-0,1.0505687793022955
UFI-1,3.3746989779293863
UOS-0,0.9650039800362432
UOV,1.1598376808057838
UOZ-0,1.0258016138195851
USI-0,1.2054812736655118
UTL-0,1.176086583607056
UWY-0,1.1572868023537441
VET-0,0.7463202985160344
VET-1,0.9365975594118228
VFI-0,0.9435805477574344
VNI-0,1.235347827858672
VSV-0,2.7231784738107643
WEI-0,9.027997875818526
YFI,1.3584789099989287
YUG-0,1.8057752603236163
ZON-0,0.677048507794707
