NAME,H2S/CH4 selectivity
ABW-0,6.523750380545183
ABW-1,1597.0036599912125
ACO-0,1.495570667258673
AEI-0,2.9757773355792327
AEL-0,0.6603390296017844
AEN-0,4.680230623671835
AET-0,1.0166314478231602
AET-1,4.75170411484029
AFG-0,0.9937231726294976
AFG-1,6.838509253750967
AFI-0,0.9983536974601385
AFN-0,1.4218234396726672
AFO-0,0.7434340039966758
AFR-0,1.5888582327737124
AFS-0,1.6340649253903614
AFT-0,1.3276185496518613
AFV,1.2573671555911736
AFX-0,1.2154369493636716
AFY-0,4.108241704041333
AHT-0,29734618.112332717
APC-0,5.510084219448278
APD-0,1.8255935871783626
AST-0,0.9129613651607374
AST-1,1.0749449955209893
ASV-0,1.2794225767247842
ATN-0,0.9065736854661431
ATN-1,9167.722719652667
ATO-0,0.5960993520630757
ATS-0,1.4504593420684282
ATS-1,1.5073827363337893
ATT-0,1.204610293193632
ATV-0,0.7975264004834062
ATV-1,2.693238298793082
AVE,0.8688511750552979
AVL,1.2009073379082416
AWO-0,6.059796097354333
AWW-0,1.372148988472509
BEA-0,1.2126190884661616
BEA-1,1.301633545964981
BEA-B-1,1.1517016441613162
BEC-0,1.0406753761693484
BEC-2,1.448876986642782
BIK-0,5.4875045559924605
BIK-1,2836.741147983907
BOF-0,0.9611929129944953
BOG-0,1.1237515003146805
BOG-1,1.7394888985836834
BOZ-0,0.9436004146540661
BPH-0,1.2945721634802505
BRE-0,0.7680687033305037
BRE-1,1.4575165678856432
BSV-0,0.527032873247617
CAN-0,1.3207047202215036
CAN-1,4.197503037853242
CAS-0,0.9773426918133916
CDO-0,0.5003049403714349
CDO-1,2.625312146264946
CFI-0,1.1016494232301057
CFI-1,2.809224653729155
CGF-0,0.8013157971940283
CGS-0,0.92218347001628
CHA-0,1.542844195991569
CON-0,1.216916080011929
CON-1,1321.281045633187
CON-2,1.1400451295940024
CSV,1.497356078175355
CZP-0,2.7495506830859946
DAC-0,1.3473120033674224
DDR-0,0.8745972484635529
DDR-1,0.9984317046831764
DFO-0,1.2865476303500802
DFO-1,2.3868578401832483
DFT-0,1.6837883673974872
DOH-0,0.5500958850052537
DOH-1,0.5468573695583867
DON-0,0.9559450382569122
DON-1,0.9382504955463058
EAB-0,0.9078437954466541
EAB-1,1.090006691946095
